#
# COVID-19 Country file (official WHO count)
# Country = World
# Latitude = 0.0
# Population = 7793055.708
# Territory = 136175515.4
# LEB = 72.3
# DPA = 58355033
# DPA65 = 33206373
# GDP = 10876.2
# GDP_PPP = 17707.0
# COVID-19 Mortality = 486.7
# First_Case = 2020_01_20
# Last_Case = 2021_06_13
# First_Death = 2020_01_20
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Pending
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_01_01	       0	       0	       0	       0
2020_01_02	       0	       0	       0	       0
2020_01_03	       0	       0	       0	       0
2020_01_04	       0	       0	       0	       0
2020_01_05	       0	       0	       0	       0
2020_01_06	       0	       0	       0	       0
2020_01_07	       0	       0	       0	       0
2020_01_08	       0	       0	       0	       0
2020_01_09	       0	       0	       0	       0
2020_01_10	       0	       0	       0	       0
2020_01_11	       0	       0	       0	       0
2020_01_12	       0	       0	       0	       0
2020_01_13	       0	       0	       0	       0
2020_01_14	       0	       0	       0	       0
2020_01_15	       0	       0	       0	       0
2020_01_16	       0	       0	       0	       0
2020_01_17	       0	       0	       0	       0
2020_01_18	       0	       0	       0	       0
2020_01_19	       0	       0	       0	       0
2020_01_20	     282	       4	     282	       4
2020_01_21	     314	       4	      32	       0
2020_01_22	     396	      12	      82	       8
2020_01_23	     578	      17	     182	       5
2020_01_24	     841	      25	     263	       8
2020_01_25	    1320	      41	     479	      16
2020_01_26	    2014	      56	     694	      15
2020_01_27	    2798	      80	     784	      24
2020_01_28	    4593	     106	    1795	      26
2020_01_29	    6065	     132	    1472	      26
2020_01_30	    7818	     170	    1753	      38
2020_01_31	    9826	     213	    2008	      43
2020_02_01	   11953	     259	    2127	      46
2020_02_02	   14557	     305	    2604	      46
2020_02_03	   17391	     362	    2834	      57
2020_02_04	   20630	     426	    3239	      64
2020_02_05	   24554	     492	    3924	      66
2020_02_06	   28276	     565	    3722	      73
2020_02_07	   31481	     638	    3205	      73
2020_02_08	   34886	     724	    3405	      86
2020_02_09	   37558	     813	    2672	      89
2020_02_10	   40554	     910	    2996	      97
2020_02_11	   43102	    1018	    2548	     108
2020_02_12	   45171	    1115	    2069	      97
2020_02_13	   46997	    1369	    1826	     254
2020_02_14	   64437	    1382	   17440	      13
2020_02_15	   67100	    1526	    2663	     144
2020_02_16	   69267	    1669	    2167	     143
2020_02_17	   71429	    1775	    2162	     106
2020_02_18	   73332	    1873	    1903	      98
2020_02_19	   75204	    2009	    1872	     136
2020_02_20	   75748	    2129	     544	     120
2020_02_21	   76767	    2247	    1019	     118
2020_02_22	   77812	    2359	    1045	     112
2020_02_23	   78811	    2462	     999	     103
2020_02_24	   79331	    2618	     520	     156
2020_02_25	   80239	    2700	     908	      82
2020_02_26	   81108	    2762	     869	      62
2020_02_27	   82294	    2804	    1186	      42
2020_02_28	   83652	    2858	    1358	      54
2020_02_29	   85403	    2924	    1751	      66
2020_03_01	   87137	    2977	    1734	      53
2020_03_02	   88948	    3043	    1811	      66
2020_03_03	   90870	    3112	    1922	      69
2020_03_04	   93091	    3198	    2221	      86
2020_03_05	   95324	    3281	    2233	      83
2020_03_06	   98192	    3380	    2868	      99
2020_03_07	  101927	    3486	    3735	     106
2020_03_08	  105586	    3584	    3659	      98
2020_03_09	  109577	    3809	    3991	     225
2020_03_10	  113702	    4012	    4125	     203
2020_03_11	  118322	    4292	    4620	     280
2020_03_12	  125048	    4613	    6726	     321
2020_03_13	  132758	    4955	    7710	     342
2020_03_14	  142539	    5393	    9781	     438
2020_03_15	  153517	    5735	   10978	     342
2020_03_16	  167506	    6606	   13989	     871
2020_03_17	  179112	    7426	   11606	     820
2020_03_18	  191127	    7807	   12015	     381
2020_03_19	  209839	    8778	   18712	     971
2020_03_20	  234073	    9840	   24234	    1062
2020_03_21	  266073	   11184	   32000	    1344
2020_03_22	  292142	   12784	   26069	    1600
2020_03_23	  332930	   14510	   40788	    1726
2020_03_24	  372757	   16231	   39827	    1721
2020_03_25	  413467	   18433	   40710	    2202
2020_03_26	  462684	   20834	   49217	    2401
2020_03_27	  509164	   23335	   46480	    2501
2020_03_28	  571678	   26494	   62514	    3159
2020_03_29	  634835	   29957	   63157	    3463
2020_03_30	  693224	   33106	   58389	    3149
2020_03_31	  750890	   36405	   57666	    3299
2020_04_01	  823626	   40598	   72736	    4193
2020_04_02	  896450	   45526	   72824	    4928
2020_04_03	  972303	   50322	   75853	    4796
2020_04_04	 1051635	   56985	   79332	    6663
2020_04_05	 1133758	   62784	   82123	    5799
2020_04_06	 1210956	   67594	   77198	    4810
2020_04_07	 1279722	   72614	   68766	    5020
2020_04_08	 1353361	   79235	   73639	    6621
2020_04_09	 1436198	   85522	   82837	    6287
2020_04_10	 1521252	   92798	   85054	    7276
2020_04_11	 1610909	   99690	   89657	    6892
2020_04_12	 1696588	  105952	   85679	    6262
2020_04_13	 1773084	  111652	   76496	    5700
2020_04_14	 1844863	  117021	   71779	    5369
2020_04_15	 1914916	  123010	   70053	    5989
2020_04_16	 1991562	  130885	   76646	    7875
2020_04_17	 2074529	  139378	   82967	    8493
2020_04_18	 2160207	  146088	   85678	    6710
2020_04_19	 2241359	  152551	   81152	    6463
2020_04_20	 2314621	  157847	   73262	    5296
2020_04_21	 2397216	  162956	   82595	    5109
2020_04_22	 2471136	  169006	   73920	    6050
2020_04_23	 2544792	  175694	   73656	    6688
2020_04_24	 2626321	  181938	   81529	    6244
2020_04_25	 2719897	  187705	   93576	    5767
2020_04_26	 2804796	  193710	   84899	    6005
2020_04_27	 2878196	  198668	   73400	    4958
2020_04_28	 2954222	  202597	   76026	    3929
2020_04_29	 3018952	  207973	   64730	    5376
2020_04_30	 3090445	  217769	   71493	    9796
2020_05_01	 3175207	  224172	   84762	    6403
2020_05_02	 3267184	  229971	   91977	    5799
2020_05_03	 3349786	  238628	   82602	    8657
2020_05_04	 3435894	  239604	   86108	     976
2020_05_05	 3517345	  243401	   81451	    3797
2020_05_06	 3588773	  247503	   71428	    4102
2020_05_07	 3672238	  254045	   83465	    6542
2020_05_08	 3759967	  259474	   87729	    5429
2020_05_09	 3855788	  265862	   95821	    6388
2020_05_10	 3917366	  274361	   61578	    8499
2020_05_11	 4006257	  278892	   88891	    4531
2020_05_12	 4088848	  283153	   82591	    4261
2020_05_13	 4170424	  287399	   81576	    4246
2020_05_14	 4248389	  294046	   77965	    6647
2020_05_15	 4338658	  297119	   90269	    3073
2020_05_16	 4425485	  302059	   86827	    4940
2020_05_17	 4525497	  307395	  100012	    5336
2020_05_18	 4618821	  311847	   93324	    4452
2020_05_19	 4731458	  316169	  112637	    4322
2020_05_20	 4789205	  318789	   57747	    2620
2020_05_21	 4893186	  323256	  103981	    4467
2020_05_22	 4993470	  327738	  100284	    4482
2020_05_23	 5103006	  333401	  109536	    5663
2020_05_24	 5204508	  337687	  101502	    4286
2020_05_25	 5304772	  342029	  100264	    4342
2020_05_26	 5404512	  343514	   99740	    1485
2020_05_27	 5488825	  349095	   84313	    5581
2020_05_28	 5593631	  353334	  104806	    4239
2020_05_29	 5701337	  357688	  107706	    4354
2020_05_30	 5817385	  362705	  116048	    5017
2020_05_31	 5934936	  367166	  117551	    4461
2020_06_01	 6057853	  371166	  122917	    4000
2020_06_02	 6194533	  376320	  136680	    5154
2020_06_03	 6287771	  379941	   93238	    3621
2020_06_04	 6416828	  382867	  129057	    2926
2020_06_05	 6535354	  387155	  118526	    4288
2020_06_06	 6663304	  392802	  127950	    5647
2020_06_07	 6799713	  397388	  136409	    4586
2020_06_08	 6931000	  400857	  131287	    3469
2020_06_09	 7039918	  404396	  108918	    3539
2020_06_10	 7145539	  408025	  105621	    3629
2020_06_11	 7273958	  413372	  128419	    5347
2020_06_12	 7410510	  418294	  136552	    4922
2020_06_13	 7553182	  423349	  142672	    5055
2020_06_14	 7690708	  427630	  137526	    4281
2020_06_15	 7823289	  431541	  132581	    3911
2020_06_16	 7941791	  434796	  118502	    3255
2020_06_17	 8061550	  440290	  119759	    5494
2020_06_18	 8242999	  445535	  181449	    5245
2020_06_19	 8385440	  450686	  142441	    5151
2020_06_20	 8525042	  456973	  139602	    6287
2020_06_21	 8708008	  461715	  182966	    4742
2020_06_22	 8860331	  465740	  152323	    4025
2020_06_23	 8993659	  469587	  133328	    3847
2020_06_24	 9129146	  473797	  135487	    4210
2020_06_25	 9296202	  479133	  167056	    5336
2020_06_26	 9473214	  484249	  177012	    5116
2020_06_27	 9653048	  491128	  179834	    6879
2020_06_28	 9843073	  495760	  190025	    4632
2020_06_29	10021401	  499913	  178328	    4153
2020_06_30	10185374	  503862	  163973	    3949
2020_07_01	10357662	  508055	  172288	    4193
2020_07_02	10533779	  512842	  176117	    4787
2020_07_03	10710005	  517877	  176226	    5035
2020_07_04	10922324	  523011	  212319	    5134
2020_07_05	11125245	  528204	  202921	    5193
2020_07_06	11327790	  532340	  202545	    4136
2020_07_07	11500302	  535759	  172512	    3419
2020_07_08	11669259	  539906	  168957	    4147
2020_07_09	11874226	  545481	  204967	    5575
2020_07_10	12102328	  551046	  228102	    5565
2020_07_11	12322395	  556335	  220067	    5289
2020_07_12	12552765	  561617	  230370	    5282
2020_07_13	12768307	  566654	  215542	    5037
2020_07_14	12964809	  570288	  196502	    3634
2020_07_15	13150645	  574464	  185836	    4176
2020_07_16	13378853	  580045	  228208	    5581
2020_07_17	13616593	  585727	  237740	    5682
2020_07_18	13876441	  593087	  259848	    7360
2020_07_19	14043176	  597583	  166735	    4496
2020_07_20	14348858	  603691	  305682	    6108
2020_07_21	14562550	  607781	  213692	    4090
