#
# COVID-19 Country file (official WHO count)
# Country = Yemen
# Latitude = 15.0
# Population = 30245.305
# Territory = 527968.0
# LEB = 66.1
# DPA = 175000
# DPA65 = 56000
# GDP = 959.0
# GDP_PPP = 2396.0
# COVID-19 Mortality = 44.5
# First_Case = 2020_04_11
# Last_Case = 2021_06_13
# First_Death = 2020_05_01
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_04_11	       1	       0	       1	       0
2020_04_12	       1	       0	       0	       0
2020_04_13	       1	       0	       0	       0
2020_04_14	       1	       0	       0	       0
2020_04_15	       1	       0	       0	       0
2020_04_16	       1	       0	       0	       0
2020_04_17	       1	       0	       0	       0
2020_04_18	       1	       0	       0	       0
2020_04_19	       1	       0	       0	       0
2020_04_20	       1	       0	       0	       0
2020_04_21	       1	       0	       0	       0
2020_04_22	       1	       0	       0	       0
2020_04_23	       1	       0	       0	       0
2020_04_24	       1	       0	       0	       0
2020_04_25	       1	       0	       0	       0
2020_04_26	       1	       0	       0	       0
2020_04_27	       1	       0	       0	       0
2020_04_28	       1	       0	       0	       0
2020_04_29	       1	       0	       0	       0
2020_04_30	       6	       0	       5	       0
2020_05_01	       6	       2	       0	       2
2020_05_02	       7	       2	       1	       0
2020_05_03	      10	       2	       3	       0
2020_05_04	      10	       2	       0	       0
2020_05_05	      12	       2	       2	       0
2020_05_06	      23	       3	      11	       1
2020_05_07	      26	       6	       3	       3
2020_05_08	      26	       6	       0	       0
2020_05_09	      36	       8	      10	       2
2020_05_10	      36	       8	       0	       0
2020_05_11	      53	       9	      17	       1
2020_05_12	      58	      10	       5	       1
2020_05_13	      67	      11	       9	       1
2020_05_14	      72	      13	       5	       2
2020_05_15	      87	      13	      15	       0
2020_05_16	     108	      16	      21	       3
2020_05_17	     126	      19	      18	       3
2020_05_18	     132	      21	       6	       2
2020_05_19	     134	      21	       2	       0
2020_05_20	     171	      29	      37	       8
2020_05_21	     184	      30	      13	       1
2020_05_22	     197	      33	      13	       3
2020_05_23	     209	      34	      12	       1
2020_05_24	     216	      40	       7	       6
2020_05_25	     226	      43	      10	       3
2020_05_26	     237	      45	      11	       2
2020_05_27	     253	      50	      16	       5
2020_05_28	     260	      54	       7	       4
2020_05_29	     282	      61	      22	       7
2020_05_30	     287	      66	       5	       5
2020_05_31	     314	      78	      27	      12
2020_06_01	     327	      81	      13	       3
2020_06_02	     358	      85	      31	       4
2020_06_03	     403	      88	      45	       3
2020_06_04	     423	      96	      20	       8
2020_06_05	     457	     104	      34	       8
2020_06_06	     473	     112	      16	       8
2020_06_07	     486	     112	      13	       0
2020_06_08	     488	     113	       2	       1
2020_06_09	     500	     113	      12	       0
2020_06_10	     528	     128	      28	      15
2020_06_11	     564	     130	      36	       2
2020_06_12	     595	     137	      31	       7
