#
# COVID-19 Country file (official WHO count)
# Country = Zambia
# Latitude = -15.0
# Population = 18679.273
# Territory = 752612.0
# LEB = 63.9
# DPA = 114000
# DPA65 = 22800
# GDP = 1453.0
# GDP_PPP = 4133.0
# COVID-19 Mortality = 73.1
# First_Case = 2020_03_19
# Last_Case = 2021_06_13
# First_Death = 2020_04_03
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_19	       2	       0	       2	       0
2020_03_20	       2	       0	       0	       0
2020_03_21	       2	       0	       0	       0
2020_03_22	       2	       0	       0	       0
2020_03_23	       3	       0	       1	       0
2020_03_24	       3	       0	       0	       0
2020_03_25	       3	       0	       0	       0
2020_03_26	       3	       0	       0	       0
2020_03_27	       3	       0	       0	       0
2020_03_28	      13	       0	      10	       0
2020_03_29	      16	       0	       3	       0
2020_03_30	      16	       0	       0	       0
2020_03_31	      35	       0	      19	       0
2020_04_01	      35	       0	       0	       0
2020_04_02	      36	       0	       1	       0
2020_04_03	      39	       1	       3	       1
2020_04_04	      39	       1	       0	       0
2020_04_05	      39	       1	       0	       0
2020_04_06	      39	       1	       0	       0
2020_04_07	      39	       1	       0	       0
2020_04_08	      39	       1	       0	       0
2020_04_09	      39	       1	       0	       0
2020_04_10	      39	       1	       0	       0
2020_04_11	      40	       2	       1	       1
2020_04_12	      40	       2	       0	       0
2020_04_13	      43	       2	       3	       0
2020_04_14	      45	       2	       2	       0
2020_04_15	      45	       2	       0	       0
2020_04_16	      48	       2	       3	       0
2020_04_17	      48	       2	       0	       0
2020_04_18	      52	       2	       4	       0
2020_04_19	      57	       2	       5	       0
2020_04_20	      61	       3	       4	       1
2020_04_21	      65	       3	       4	       0
2020_04_22	      70	       3	       5	       0
2020_04_23	      74	       3	       4	       0
2020_04_24	      76	       3	       2	       0
2020_04_25	      84	       3	       8	       0
2020_04_26	      84	       3	       0	       0
2020_04_27	      88	       3	       4	       0
2020_04_28	      89	       3	       1	       0
2020_04_29	      95	       3	       6	       0
2020_04_30	      97	       3	       2	       0
2020_05_01	     106	       3	       9	       0
2020_05_02	     109	       3	       3	       0
2020_05_03	     119	       3	      10	       0
2020_05_04	     124	       3	       5	       0
2020_05_05	     137	       3	      13	       0
2020_05_06	     137	       4	       0	       1
2020_05_07	     139	       4	       2	       0
2020_05_08	     153	       4	      14	       0
2020_05_09	     167	       4	      14	       0
2020_05_10	     252	       4	      85	       0
2020_05_11	     267	       7	      15	       3
2020_05_12	     267	       7	       0	       0
2020_05_13	     441	       7	     174	       0
2020_05_14	     446	       7	       5	       0
2020_05_15	     654	       7	     208	       0
2020_05_16	     668	       7	      14	       0
2020_05_17	     679	       7	      11	       0
2020_05_18	     753	       7	      74	       0
2020_05_19	     761	       7	       8	       0
2020_05_20	     772	       7	      11	       0
2020_05_21	     832	       7	      60	       0
2020_05_22	     866	       7	      34	       0
2020_05_23	     920	       7	      54	       0
2020_05_24	     920	       7	       0	       0
2020_05_25	     920	       7	       0	       0
2020_05_26	     920	       7	       0	       0
2020_05_27	     920	       7	       0	       0
2020_05_28	    1057	       7	     137	       0
2020_05_29	    1057	       7	       0	       0
2020_05_30	    1057	       7	       0	       0
2020_05_31	    1057	       7	       0	       0
2020_06_01	    1057	       7	       0	       0
2020_06_02	    1089	       7	      32	       0
2020_06_03	    1089	       7	       0	       0
2020_06_04	    1089	       7	       0	       0
2020_06_05	    1111	       7	      22	       0
2020_06_06	    1111	       7	       0	       0
2020_06_07	    1154	       7	      43	       0
2020_06_08	    1154	       7	       0	       0
2020_06_09	    1200	      10	      46	       3
2020_06_10	    1200	      10	       0	       0
