#
# COVID-19 Country file (official WHO count)
# Country = Zimbabwe
# Latitude = -18.0
# Population = 17680.465
# Territory = 390757.0
# LEB = 61.5
# DPA = 114000
# DPA65 = 29640
# GDP = 1366.0
# GDP_PPP = 2703.0
# COVID-19 Mortality = 92.3
# First_Case = 2020_03_21
# Last_Case = 2021_06_13
# First_Death = 2020_03_24
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Sinopharm/Beijing
# Vaccine start = 2021_02_18
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_21	       1	       0	       1	       0
2020_03_22	       2	       0	       1	       0
2020_03_23	       2	       0	       0	       0
2020_03_24	       2	       1	       0	       1
2020_03_25	       2	       1	       0	       0
2020_03_26	       2	       1	       0	       0
2020_03_27	       3	       1	       1	       0
2020_03_28	       5	       1	       2	       0
2020_03_29	       5	       1	       0	       0
2020_03_30	       5	       1	       0	       0
2020_03_31	       5	       1	       0	       0
2020_04_01	       8	       1	       3	       0
2020_04_02	       8	       1	       0	       0
2020_04_03	       8	       1	       0	       0
2020_04_04	       9	       1	       1	       0
2020_04_05	       9	       1	       0	       0
2020_04_06	       9	       1	       0	       0
2020_04_07	       9	       1	       0	       0
2020_04_08	      11	       2	       2	       1
2020_04_09	      11	       3	       0	       1
2020_04_10	      11	       3	       0	       0
2020_04_11	      11	       3	       0	       0
2020_04_12	      13	       3	       2	       0
2020_04_13	      14	       3	       1	       0
2020_04_14	      17	       3	       3	       0
2020_04_15	      18	       3	       1	       0
2020_04_16	      23	       3	       5	       0
2020_04_17	      23	       3	       0	       0
2020_04_18	      24	       3	       1	       0
2020_04_19	      25	       3	       1	       0
2020_04_20	      25	       3	       0	       0
2020_04_21	      25	       3	       0	       0
2020_04_22	      28	       3	       3	       0
2020_04_23	      28	       4	       0	       1
2020_04_24	      28	       4	       0	       0
2020_04_25	      29	       4	       1	       0
2020_04_26	      31	       4	       2	       0
2020_04_27	      31	       4	       0	       0
2020_04_28	      31	       4	       0	       0
2020_04_29	      32	       4	       1	       0
2020_04_30	      32	       4	       0	       0
2020_05_01	      32	       4	       0	       0
2020_05_02	      34	       4	       2	       0
2020_05_03	      34	       4	       0	       0
2020_05_04	      34	       4	       0	       0
2020_05_05	      34	       4	       0	       0
2020_05_06	      34	       4	       0	       0
2020_05_07	      34	       4	       0	       0
2020_05_08	      34	       4	       0	       0
2020_05_09	      34	       4	       0	       0
2020_05_10	      35	       4	       1	       0
2020_05_11	      36	       4	       1	       0
2020_05_12	      36	       4	       0	       0
2020_05_13	      37	       4	       1	       0
2020_05_14	      37	       4	       0	       0
2020_05_15	      37	       4	       0	       0
2020_05_16	      42	       4	       5	       0
2020_05_17	      44	       4	       2	       0
2020_05_18	      44	       4	       0	       0
2020_05_19	      46	       4	       2	       0
2020_05_20	      46	       4	       0	       0
2020_05_21	      48	       4	       2	       0
2020_05_22	      51	       4	       3	       0
2020_05_23	      51	       4	       0	       0
2020_05_24	      56	       4	       5	       0
2020_05_25	      56	       4	       0	       0
2020_05_26	      56	       4	       0	       0
2020_05_27	      56	       4	       0	       0
2020_05_28	     132	       4	      76	       0
2020_05_29	     132	       4	       0	       0
2020_05_30	     149	       4	      17	       0
2020_05_31	     174	       4	      25	       0
2020_06_01	     178	       4	       4	       0
2020_06_02	     178	       4	       0	       0
2020_06_03	     206	       4	      28	       0
2020_06_04	     222	       4	      16	       0
2020_06_05	     222	       4	       0	       0
