#
# COVID-19 Country data (official WHO count)
#
Country	First_Case	Conf_Cases	Conf_Deaths	Status
Afghanistan	2020_04_30	2469	72	Clusters of cases
Albania	2020_04_30	789	31	Clusters of cases
Algeria	2020_04_30	4154	453	Community transmission
Andorra	2020_04_30	746	43	Community transmission
Angola	2020_04_30	29	2	Sporadic cases
Anguilla	2020_04_30	3	0	Sporadic cases
Antigua and Barbuda	2020_04_30	24	3	Clusters of cases
Argentina	2020_04_30	4476	220	Community transmission
Armenia	2020_04_30	2273	33	Clusters of cases
Aruba	2020_04_30	100	2	Clusters of cases
Australia	2020_04_30	6767	93	Clusters of cases
Austria	2020_04_30	15531	589	Community transmission
Azerbaijan	2020_04_30	1854	25	Clusters of cases
Bahamas	2020_04_30	81	11	Clusters of cases
Bahrain	2020_04_30	3170	8	Clusters of cases
Bangladesh	2020_04_30	8238	170	Pending
Barbados	2020_04_30	81	7	Clusters of cases
Belarus	2020_04_30	14917	93	Clusters of cases
Belgium	2020_04_30	49032	7703	Community transmission
Belize	2020_04_30	18	2	Sporadic cases
Benin	2020_04_30	90	2	Sporadic cases
Bermuda	2020_04_30	114	6	Clusters of cases
Bhutan	2020_04_30	7	0	Sporadic cases
Bolivia (Plurinational State of)	2020_04_30	1167	62	Clusters of cases
Bonaire, Sint Eustatius and Saba	2020_04_30	6	0	Sporadic cases
Bosnia and Herzegovina	2020_04_30	1757	68	Community transmission
Botswana	2020_04_30	23	1	Sporadic cases
Brazil	2020_04_30	85380	5901	Community transmission
British Virgin Islands	2020_04_30	6	1	Sporadic cases
Brunei Darussalam	2020_04_30	138	1	Sporadic cases
Bulgaria	2020_04_30	1588	69	Clusters of cases
Burkina Faso	2020_04_30	649	44	Community transmission
Burundi	2020_04_30	15	1	Sporadic cases
Cabo Verde	2020_04_30	121	1	Sporadic cases
Cambodia	2020_04_30	122	0	Sporadic cases
Cameroon	2020_04_30	2069	61	Clusters of cases
Canada	2020_04_30	53657	3223	Community transmission
Cayman Islands	2020_04_30	73	1	Clusters of cases
Central African Republic	2020_04_30	64	0	Sporadic cases
Chad	2020_04_30	73	5	Sporadic cases
Chile	2020_04_30	17008	234	Community transmission
China	2020_04_30	84388	4643	Clusters of cases
Colombia	2020_04_30	6507	293	Community transmission
