В Специальной Олимпиаде не участвуют:

Страна                                  	Население (тыс)	Территория (км2)
Dem. People's Republic of Korea         	      25840.863	        120540.0
Kiribati                                	        122.439	           811.0
Marshall Islands                        	         53.251	           181.4
Micronesia (Fed. States of)             	        107.774	          2700.0
Nauru                                   	         11.227	            21.0
Palau                                   	         22.442	           459.0
Saint Helena                            	          4.126	           308.0
Samoa                                   	        200.117	          2842.0
Solomon Islands                         	        647.297	         28896.0
Tokelau                                 	          1.357	            10.0
Tonga                                   	        104.494	           747.0
Turkmenistan                            	       6031.195	        488100.0
Tuvalu                                  	         11.499	            26.0
Vanuatu                                 	        293.934	         12189.0
Wallis and Futuna Islands               	         11.551	           142.4
Western Sahara                          	        597.339	        266000.0
Total:                                  	      34060.905	        923972.8

Участники Специальной Олимпиады без смертей:

Страна                                  	Население (тыс)	        Случаев	 Случаев на млн	Территория (км2)
Anguilla                                	          15.28	              3	         196.30	            91.0
Bhutan                                  	         835.25	            155	         185.57	         38394.0
Bonaire, Sint Eustatius and Saba        	          26.21	             13	         495.96	           328.0
Cambodia                                	       16715.51	            273	          16.33	        181035.0
Dominica                                	          75.05	             19	         253.16	           751.0
Eritrea                                 	        5432.22	            306	          56.33	        117600.0
Falkland Islands (Malvinas)             	           2.92	             13	        4444.44	         12173.0
Faroe Islands                           	          49.90	            384	        7696.01	          1393.0
French Polynesia                        	         290.74	            298	        1024.96	          4167.0
Gibraltar                               	          35.00	            229	        6542.86	             6.5
Greenland                               	          56.77	             14	         246.60	       2166086.0
Grenada                                 	         109.31	             24	         219.56	           344.0
Holy See                                	           0.80	             12	       14981.27	             0.3
Lao People's Democratic Republic        	        7164.82	             22	           3.07	        236800.0
Mongolia                                	        3209.40	            298	          92.85	       1564110.0
New Caledonia                           	         286.91	             23	          80.16	         18575.0
Saint Barthelemy                        	           9.79	             16	        1633.82	            25.0
Saint Kitts and Nevis                   	          56.81	             17	         299.23	           261.0
Saint Lucia                             	         192.19	             26	         135.29	           616.0
Saint Pierre and Miquelon               	           6.41	              5	         780.40	           242.0
Saint Vincent and the Grenadines        	         110.76	             58	         523.67	           389.0
Seychelles                              	          96.11	            127	        1321.38	           455.0
Timor-Leste                             	        1381.40	             26	          18.82	         14874.0
Total:                                  	       36159.57	           2361	          65.29	       4358715.8

Малые страны:

Страна                                  	Население (тыс)	        Смертей	 Смертей на млн	Территория (км2)
Andorra                                 	          77.18	             53	         686.67	           467.6
Anguilla                                	          15.28	              0	           0.00	            91.0
Antigua and Barbuda                     	         105.11	              3	          28.54	           442.6
Aruba                                   	         106.44	              6	          56.37	           180.0
Bahamas                                 	         406.84	             27	          66.37	         13943.0
Barbados                                	         287.57	              7	          24.34	           431.0
Belize                                  	         398.01	              5	          12.56	         22966.0
Bermuda                                 	          60.64	              9	         148.42	            54.0
Bhutan                                  	         835.25	              0	           0.00	         38394.0
Bonaire, Sint Eustatius and Saba        	          26.21	              0	           0.00	           328.0
British Virgin Islands                  	          32.63	              1	          30.64	           151.0
Brunei Darussalam                       	         444.52	              3	           6.75	          5765.0
Cabo Verde                              	         567.35	             37	          65.22	          4033.0
Cayman Islands                          	          63.89	              1	          15.65	           264.0
Comoros                                 	         869.60	              7	           8.05	          1862.0
Curacao                                 	         163.50	              1	           6.12	           444.0
Diamond Princess                        	           3.75	             13	        3466.67	             0.0
Djibouti                                	         999.90	             60	          60.01	         23200.0
Dominica                                	          75.05	              0	           0.00	           751.0
Falkland Islands (Malvinas)             	           2.92	              0	           0.00	         12173.0
Faroe Islands                           	          49.90	              0	           0.00	          1393.0
Fiji                                    	         924.91	              1	           1.08	         18274.0
French Guiana                           	         303.98	             55	         180.93	         83534.0
French Polynesia                        	         290.74	              0	           0.00	          4167.0
Gibraltar                               	          35.00	              0	           0.00	             6.5
Greenland                               	          56.77	              0	           0.00	       2166086.0
Grenada                                 	         109.31	              0	           0.00	           344.0
Guadeloupe                              	         448.43	             15	          33.45	          1628.0
Guam                                    	         168.73	              7	          41.49	           549.0
Guernsey                                	          62.79	             13	         207.03	            65.0
Guyana                                  	         790.78	             30	          37.94	        214969.0
Holy See                                	           0.80	              0	           0.00	             0.3
Iceland                                 	         343.23	             10	          29.14	        103000.0
Isle of Man                             	          85.89	             24	         279.41	           572.0
Jersey                                  	         106.80	             32	         299.63	           118.2
Kiribati                                	         122.44	              0	           0.00	           811.0
Liechtenstein                           	          38.65	              1	          25.88	           160.0
Luxembourg                              	         603.94	            124	         205.32	          2586.0
Maldives                                	         458.91	             26	          56.66	           300.0
Malta                                   	         434.36	             10	          23.02	           316.0
Marshall Islands                        	          53.25	              0	           0.00	           181.4
Martinique                              	         385.46	             16	          41.51	          1128.0
Mayotte                                 	         273.11	             39	         142.80	           374.0
Micronesia (Fed. States of)             	         107.77	              0	           0.00	          2700.0
Monaco                                  	          38.30	              1	          26.11	             2.2
Montenegro                              	         629.40	             84	         133.46	         13812.0
Montserrat                              	           4.65	              1	         215.10	           102.0
