Баранопедемия по состоянию на 2021_05_23

В Специальной Олимпиаде не участвуют:
Страна                                            	 Население(тыс)	Территория(км2)
Dem. People's Republic of Korea                   	      25840.863	       120540.0
Turkmenistan                                      	       6031.195	       488100.0
Western Sahara                                    	        597.339	       266000.0
Kiribati                                          	        122.439	          811.0
Tonga                                             	        104.494	          747.0
Palau                                             	         22.442	          459.0
Tuvalu                                            	         11.499	           26.0
Nauru                                             	         11.227	           21.0
Saint Helena                                      	          4.126	          308.0
Tokelau                                           	          1.357	           10.0
TOTAL:                                            	      32746.981	       877022.0

Участники Специальной Олимпиады без смертей:
Страна                                            	 Население(тыс)	Территория(км2)	        Случаев	 Случаев на млн
Solomon Islands                                   	        647.297	        28896.0	             20	          30.90
Vanuatu                                           	        293.934	        12189.0	              3	          10.21
New Caledonia                                     	        286.913	        18575.0	            125	         435.67
Samoa                                             	        200.117	         2842.0	              1	           5.00
Micronesia (Fed. States of)                       	        107.774	         2700.0	              1	           9.28
Dominica                                          	         75.052	          751.0	            184	        2451.63
Saint Kitts and Nevis                             	         56.813	          261.0	             46	         809.67
Greenland                                         	         56.772	      2166086.0	             34	         598.89
Marshall Islands                                  	         53.251	          181.4	              4	          75.12
Anguilla                                          	         15.283	           91.0	            109	        7132.11
Saint Pierre and Miquelon                         	          6.407	          242.0	             25	        3901.98
Falkland Islands (Malvinas)                       	          2.925	        12173.0	             63	       21538.46
Holy See                                          	          0.801	            0.3	             26	       32459.43
TOTAL:                                            	       1803.339	      2244987.7	            640	         354.90

Участники Специальной Олимпиады с населением менее 100 тыс:
Страна                                            	 Население(тыс)	Территория (км2)	        Случаев	        Смертей	 Смертей на млн
Diamond Princess                                  	          3.750	            0.0	            741	             13	        3466.67
Gibraltar                                         	         33.800	            6.5	           4286	             94	        2781.07
San Marino                                        	         33.809	           61.2	           5089	             90	        2662.01
Andorra                                           	         77.184	          467.6	          13609	            127	        1645.42
Liechtenstein                                     	         38.645	          160.0	           3088	             57	        1474.96
Monaco                                            	         38.300	            2.2	           2501	             32	         835.51
Sint Maarten                                      	         40.900	           34.0	           2346	             27	         660.15
Bonaire, Sint Eustatius and Saba                  	         26.212	          328.0	           1607	             17	         648.56
Wallis and Futuna Islands                         	         11.551	          142.4	            454	              7	         606.01
Bermuda                                           	         60.639	           54.0	           2488	             32	         527.71
Turks and Caicos Islands                          	         36.953	          948.0	           2408	             17	         460.04
Saint Martin                                      	         36.800	           87.0	           1895	             15	         407.61
Seychelles                                        	         96.112	          455.0	          10433	             38	         395.37
Isle of Man                                       	         85.895	          572.0	           1591	             29	         337.62
Guernsey                                          	         62.792	           65.0	            822	             14	         222.96
Montserrat                                        	          4.649	          102.0	             20	              1	         215.10
Saint Barthelemy                                  	          9.793	           25.0	           1016	              1	         102.11
Northern Mariana Islands (Commonwealth of the)    	         55.347	          464.0	            181	              2	          36.14
Cayman Islands                                    	         63.890	          264.0	            574	              2	          31.30
British Virgin Islands                            	         32.634	          151.0	            248	              1	          30.64
Faroe Islands                                     	         49.896	         1393.0	            676	              1	          20.04
Anguilla                                          	         15.283	           91.0	            109	              0	           0.00
Dominica                                          	         75.052	          751.0	            184	              0	           0.00
Falkland Islands (Malvinas)                       	          2.925	        12173.0	             63	              0	           0.00
Greenland                                         	         56.772	      2166086.0	             34	              0	           0.00
Holy See                                          	          0.801	            0.3	             26	              0	           0.00
Marshall Islands                                  	         53.251	          181.4	              4	              0	           0.00
Nauru                                             	         11.227	           21.0	              0	              0	           0.00
Palau                                             	         22.442	          459.0	              0	              0	           0.00
Saint Helena                                      	          4.126	          308.0	              0	              0	           0.00
Saint Kitts and Nevis                             	         56.813	          261.0	             46	              0	           0.00
Saint Pierre and Miquelon                         	          6.407	          242.0	             25	              0	           0.00
Tokelau                                           	          1.357	           10.0	              0	              0	           0.00
Tuvalu                                            	         11.499	           26.0	              0	              0	           0.00
TOTAL:                                            	       1217.506	      2186391.6	          56564	            617	         506.77

Участники Специальной Олимпиады с ранжированием по смертности на млн:
Место	Страна                                            	 Население(тыс)	        Случаев	        Смертей	 Смертей на млн	     Перцентиль
    1	Diamond Princess                                  	          3.750	            741	             13	        3466.67          0.00%
    2	Hungary                                           	       9621.254	         801672	          29475	        3063.53          0.00%
    3	Czechia                                           	      10633.424	        1657893	          30020	        2823.17          0.12%
    4	Gibraltar                                         	         33.800	           4286	             94	        2781.07          0.26%
    5	San Marino                                        	         33.809	           5089	             90	        2662.01          0.26%
    6	Bosnia and Herzegovina                            	       3498.210	         203253	           9117	        2606.19          0.26%
    7	North Macedonia                                   	       2088.035	         155028	           5296	        2536.36          0.31%
    8	Bulgaria                                          	       6940.527	         416565	          17487	        2519.55          0.33%
    9	Montenegro                                        	        629.397	          99240	           1572	        2497.63          0.42%
   10	Slovakia                                          	       5451.400	         388835	          12292	        2254.83          0.43%
   11	Slovenia                                          	       2082.055	         251531	           4675	        2245.38          0.50%
   12	Belgium                                           	      11619.972	        1048880	          24841	        2137.78          0.53%
   13	Italy                                             	      59132.073	        4188190	         125153	        2116.50          0.68%
   14	Brazil                                            	     213863.046	       15970949	         446309	        2086.89          1.43%
   15	Peru                                              	      33312.178	        1915566	          67569	        2028.36          4.18%
   16	Poland                                            	      37942.231	        2865622	          72928	        1922.08          4.61%
   17	Croatia                                           	       4115.947	         353986	           7903	        1920.09          5.09%
   18	The United Kingdom                                	      67334.208	        4460450	         127716	        1896.75          5.15%
   19	United States of America                          	     331431.534	       32762914	         583696	        1761.14          6.01%
   20	Spain                                             	      46459.219	        3631661	          79601	        1713.35         10.26%
   21	Colombia                                          	      50220.412	        3192050	          83719	        1667.03         10.86%
   22	Portugal                                          	      10218.413	         844811	          17017	        1665.33         11.50%
   23	Mexico                                            	     133870.027	        2392744	         221256	        1652.77         11.63%
   24	Andorra                                           	         77.184	          13609	            127	        1645.42         13.35%
   25	France                                            	      65721.165	        5820918	         107403	        1634.22         13.35%
   26	Argentina                                         	      45510.399	        3482512	          73391	        1612.62         14.20%
   27	Romania                                           	      19388.362	        1075236	          29885	        1541.39         14.78%
   28	Chile                                             	      18472.639	        1323413	          28386	        1536.65         15.03%
   29	Republic of Moldova                               	       4017.687	         254601	           6072	        1511.32         15.27%
   30	Armenia                                           	       2938.679	         221948	           4392	        1494.55         15.32%
   31	Liechtenstein                                     	         38.645	           3088	             57	        1474.96         15.36%
   32	Panama                                            	       4289.330	         373308	           6321	        1473.66         15.36%
   33	Lithuania                                         	       2852.478	         270849	           4185	        1467.15         15.41%
