#
# COVID-19 Country file (official WHO count)
# Country = occupied Palestinian territory
# Latitude = 32.0
# Population = 5322.629
# Territory = 6020.0
# LEB = 74.1
# DPA = 17000
# DPA65 = 7990
# GDP = 2946.0
# GDP_PPP = 4300.0
# COVID-19 Mortality = 713.6
# First_Case = 2020_03_05
# Last_Case = 2021_06_13
# First_Death = 2020_03_26
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_05	       4	       0	       4	       0
2020_03_06	       7	       0	       3	       0
2020_03_07	      16	       0	       9	       0
2020_03_08	      16	       0	       0	       0
2020_03_09	      19	       0	       3	       0
2020_03_10	      26	       0	       7	       0
2020_03_11	      30	       0	       4	       0
2020_03_12	      30	       0	       0	       0
2020_03_13	      31	       0	       1	       0
2020_03_14	      35	       0	       4	       0
2020_03_15	      38	       0	       3	       0
2020_03_16	      38	       0	       0	       0
2020_03_17	      39	       0	       1	       0
2020_03_18	      41	       0	       2	       0
2020_03_19	      44	       0	       3	       0
2020_03_20	      47	       0	       3	       0
2020_03_21	      48	       0	       1	       0
2020_03_22	      52	       0	       4	       0
2020_03_23	      59	       0	       7	       0
2020_03_24	      59	       0	       0	       0
2020_03_25	      60	       0	       1	       0
2020_03_26	      64	       1	       4	       1
2020_03_27	      84	       1	      20	       0
2020_03_28	      97	       1	      13	       0
2020_03_29	     104	       1	       7	       0
2020_03_30	     115	       1	      11	       0
2020_03_31	     117	       1	       2	       0
2020_04_01	     134	       1	      17	       0
2020_04_02	     134	       1	       0	       0
2020_04_03	     165	       1	      31	       0
2020_04_04	     193	       1	      28	       0
2020_04_05	     217	       1	      24	       0
2020_04_06	     246	       1	      29	       0
2020_04_07	     254	       1	       8	       0
2020_04_08	     263	       1	       9	       0
2020_04_09	     263	       1	       0	       0
2020_04_10	     266	       1	       3	       0
2020_04_11	     268	       2	       2	       1
2020_04_12	     268	       2	       0	       0
2020_04_13	     271	       2	       3	       0
2020_04_14	     274	       2	       3	       0
2020_04_15	     288	       2	      14	       0
2020_04_16	     293	       2	       5	       0
2020_04_17	     295	       2	       2	       0
2020_04_18	     313	       2	      18	       0
2020_04_19	     320	       2	       7	       0
2020_04_20	     324	       2	       4	       0
2020_04_21	     329	       2	       5	       0
