Year	Crude	NGPL
1973	20740.3	0.0
1974	19439.7	0.0
1975	17451.1	0.0
1976	19217.8	0.0
1977	19873.4	0.0
1978	19975.0	0.0
1979	19960.5	0.0
1980	21868.6	1151.6
1981	20059.4	1184.4
1982	20758.6	1190.3
1983	21602.6	1250.1
1984	22425.8	1350.0
1985	22556.3	1357.9
1986	22623.9	1527.7
1987	23112.3	1611.7
1988	23585.9	1691.7
1989	24829.3	1777.0
1990	25583.3	1785.6
1991	25833.9	1811.4
1992	27102.7	1909.7
1993	28461.1	2080.4
1994	30028.8	2139.0
1995	30913.0	2266.8
1996	32076.8	2298.4
1997	32813.9	2387.1
1998	32843.1	2501.1
1999	31979.2	2570.3
2000	32992.1	2637.6
2001	32789.1	2811.3
2002	31980.5	2808.3
2003	32540.2	2865.7
2004	33519.2	2825.1
2005	33989.2	2896.6
2006	33370.8	2942.0
2007	33053.7	2990.1
2008	32843.3	2908.5
2009	31726.7	2967.8
2010	31423.6	3052.2
2011	29637.7	2852.7
2012	29077.2	2916.3
2013	27619.4	2769.0
2014	27115.5	2857.1
2015	26920.7	2790.6
2016	26929.4	2877.1
2017	26691.9	3145.5
2018	25919.5	3135.8
2019	23763.6	3143.0
2020	21276.7	3070.8
