Report generated on: 07-09-2021 13:01:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.53-1-WORL-TBPD.A,        Total petroleum and other liquids (Mb/d),,,,,,,,63987.8,60602,58100.1,57929.3,59563.4579398907,59156.12542984,61534.9576804634,62101.270443814,64398.7317057224,65524.9112631493,66437.1839058122,66338.8510971412,66551.9701747059,67101.1739452055,68639.0879452055,70306.0879452055,71985.6543715847,74220.3161643836,75682.8950684931,74840.0693150685,77729.131016622,77673.2060262188,77103.6716129264,79623.3893943549,83519.8086748634,85158.9651534247,85278.8524054795,85330.4557643836,86667.6330382514,85858.6214164384,88550.7918356164,88987.4913315069,91083.0066693989,91669.6678,94249.2697342466,97007.1356986301,97423.459989071,98085.2536309938,100792.100895932,100650.778091227,94197.7349991302,
INTL.55-1-WORL-TBPD.A,"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,63092.9,59785.5,57242.9,57123.7,58613.7,58186.9,60769.573,61257.573,63496.754,64633.954,65482.054,65316.436,65405.968,65866.5518575342,67333.1263013699,68882.7016438356,70444.7915300546,72643.3134246575,74021.4498630137,73121.7884931507,75885.2047272415,75834.7029511414,75194.8544802086,77636.9224097444,81380.9081202186,83046.5031342466,83123.9654,83177.4657753425,84491.0469754098,83592.6140465753,86196.2543287671,86577.6826684932,88648.590726776,89157.0329013699,91696.7947178082,94379.3874438356,94757.2629289618,95413.349809076,98101.4980794935,97992.3216994461,91715.25640303,
INTL.57-1-WORL-TBPD.A,                Crude oil including lease condensate (Mb/d),50359.734,50376.905,47570.995,51743.766,53881.362,54259.53,56617.534,59557.6872404372,55899.592030137,53453.1968246575,53249.7619945205,54498.5390408029,53965.4347203372,56326.1412438356,56649.3952602283,58696.6020875745,59802.7126533805,60497.912402056,60128.1791376674,60100.697696222,60175.7380356164,61174.0961643836,62433.1276712329,63817.7620218579,65804.764109589,67033.6676712329,65968.4249315068,68526.6543680328,68131.9110526575,67290.1730849315,69460.2444794521,72597.1238142077,73870.8712493151,73627.3129506849,73323.6836191781,74302.9066256831,73118.1199013699,74881.0423643836,74907.0604876712,76416.9686229508,76463.6507178082,78350.4754356164,80703.6998849315,80772.1376065574,81317.7065391997,83083.2460836563,82360.1037751922,76109.983104426,
INTL.58-1-WORL-TBPD.A,                NGPL (Mb/d),,,,,,,,3446.28975,3630.69,3631.8,3643.3,3872.7,3933,4162.9,4284.5,4498.4,4512.4,4644.9,4816.557,4847.6127,5061.6317287671,5376.2246575343,5573.4671232877,5704.5672131148,5843.6273972603,6003.7273972603,6181.88,6376.3977335246,6693.3512432877,6809.2781425779,7058.2976623477,7596.6580327869,7900.1881726027,8050.4238958904,8244.3380849315,8211.2693989071,8349.1920767123,8618.9089808219,8801.7737863014,9190.4348661202,9378.9283123288,9830.6756630137,10145.6774493151,10327.7786120219,10505.3949788821,11102.8982941398,11653.4787130723,11825.429643815,
INTL.59-1-WORL-TBPD.A,                Other liquids (Mb/d),,,,,,,,89,105,157,231,242,288.6,280.8,323.9,303,320.2,341.1,371.22,457.5,629.1820931507,782.8054794521,876.1068493151,922.462295082,994.9219178082,984.0547945205,971.4835616438,982.1526256842,1009.4406551962,1095.4032526992,1118.3802679447,1187.1262732241,1275.4437123288,1446.2285534247,1609.4440712329,1976.8709508197,2125.3020684932,2696.3029835617,2868.8483945206,3041.1872377049,3314.4538712329,3515.6436191781,3530.0101095891,3657.3467103825,3590.2482909943,3915.3537016975,3978.7392111816,3779.843654789,
INTL.56-1-WORL-TBPD.A,            Refinery processing gain (Mb/d),,,,,,,,894.7,816.3,856,804.4,948.9,967.8003750455,764.6491061795,841.0735498681,895.8889917449,882.3639560706,952.459299795,1022.4302153028,1143.3109022607,1234.6220876712,1305.9616438356,1423.3863013699,1540.8628415301,1577.002739726,1661.4452054795,1718.2808219178,1843.9262893805,1838.5030750774,1908.8171327178,1986.4669846104,2138.9005546448,2112.4620191781,2154.8870054795,2152.9899890411,2176.5860628415,2266.007369863,2354.5375068493,2409.8086630137,2434.415942623,2512.6348986301,2552.4750164384,2627.7482547945,2666.1970601093,2671.9038219178,2690.6028164384,2658.4563917808,2482.4785961003,
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
