#														
# Contains metadata to API international production files														
#														
Code	Region	Group	Order	EnglishName	RussianName	Population	Territory	GDP	GDP_PPP	Peak_Year	Peak_Production	Production_2020	2020_to_peak	Density_2020
WORL	GEN	0	0	World	Всего в мире	7796056.410	150591668.3	10970	17900	-999	-999.00	-999.00	No	0.833
CSK	DEPR	0	1	Former Czechoslovakia	Бывшая Чехословакия	-999.000	-999.0	-999	-999	-999	-999.00	-999.00	No	0.833
DDR	DEPR	0	2	Germany, East	Бывшая Восточная Германия	-999.000	-999.0	-999	-999	-999	-999.00	-999.00	No	0.833
DEUW	DEPR	0	3	Germany, West	Бывшая Западная Германия	-999.000	-999.0	-999	-999	-999	-999.00	-999.00	No	0.833
HITZ	DEPR	0	4	Hawaiian Trade Zone	Гавайская торговая зона	-999.000	-999.0	-999	-999	-999	-999.00	-999.00	No	0.833
SCG	DEPR	0	5	Former Serbia and Montenegro	Бывшая Сербия-Черногория	-999.000	-999.0	-999	-999	-999	-999.00	-999.00	No	0.833
SUN	DEPR	0	6	Former U.S.S.R.	Бывший СССР	-999.000	-999.0	-999	-999	-999	-999.00	-999.00	No	0.833
YUG	DEPR	0	7	Former Yugoslavia	Бывшая Югославия	-999.000	-999.0	-999	-999	-999	-999.00	-999.00	No	0.833
ASM	SMALL	0	8	American Samoa	Американские Самоа	55.212	259.0	11200	11200	-999	-999.00	-999.00	No	0.833
ATG	SMALL	0	9	Antigua and Barbuda	Антигуа и Барбуда	105.110	442.6	16546	27920	-999	-999.00	-999.00	No	0.833
ABW	SMALL	0	10	Aruba	Аруба	106.438	180.0	25754	32378	-999	-999.00	-999.00	No	0.833
BMU	SMALL	0	11	Bermuda	Бермуды	60.639	54.0	93970	85700	-999	-999.00	-999.00	No	0.833
VGB	SMALL	0	12	British Virgin Islands	Британские Виргинские о-ва	32.634	151.0	31917	42300	-999	-999.00	-999.00	No	0.833
VUT	SMALL	0	13	Vanuatu	Вануату	293.934	12189.0	3171	3020	-999	-999.00	-999.00	No	0.833
VIR	SMALL	0	14	United States Virgin Islands	Виргинские о-ва (США)	104.858	347.0	35938	36100	-999	-999.00	-999.00	No	0.833
GLP	SMALL	0	15	Guadeloupe	Гваделупе	448.427	1628.0	10824	15897	-999	-999.00	-999.00	No	0.833
GIB	SMALL	0	16	Gibraltar	Гибралтар	35.000	6.5	61700	61700	-999	-999.00	-999.00	No	0.833
HKG	SMALL	0	17	Hong Kong	Гонконг (КНР)	7500.700	2755.0	49334	64928	-999	-999.00	-999.00	No	0.833
GRD	SMALL	0	18	Grenada	Гренада	109.308	344.0	10824	15897	-999	-999.00	-999.00	No	0.833
VCT	SMALL	0	19	Saint Vincent and the Grenadines	Наветренные о-ва	110.757	389.0	7364	12290	-999	-999.00	-999.00	No	0.833
GUM	SMALL	0	20	Guam	Гуам	168.727	549.0	35713	30500	-999	-999.00	-999.00	No	0.833
DMA	SMALL	0	21	Dominica	Доминика	75.052	751.0	7597	11994	-999	-999.00	-999.00	No	0.833
USIT	SMALL	0	22	US overseas territories	Океанические территории США	10.000	100.0	10824	15897	-999	-999.00	-999.00	No	0.833
CYM	SMALL	0	23	Cayman Islands	Каймановы о-ва	63.890	264.0	73299	58204	-999	-999.00	-999.00	No	0.833
CPV	SMALL	0	24	Cabo Verde	Капо-Верде	567.348	4033.0	3493	7690	-999	-999.00	-999.00	No	0.833
KIR	SMALL	0	25	Kiribati	Кирибати	122.439	811.0	1631	2129	-999	-999.00	-999.00	No	0.833
