ARM	Армения	-999	-999.00	-999.00	100.00%	2938.7	0.04%	29743	0.02%
LVA	Латвия	-999	-999.00	-999.00	100.00%	1893.0	0.02%	64559	0.04%
MDA	Молдова	-999	-999.00	-999.00	100.00%	4017.7	0.05%	33846	0.02%
EST	Эстония	-999	-999.00	-999.00	100.00%	1300.6	0.02%	45227	0.03%
KGZ	Кыргызстан	1958	0.50	0.04	7.69%	6301.7	0.08%	199951	0.13%
UKR	Украина	1972	14.50	2.31	15.95%	43579.2	0.56%	603500	0.40%
BLR	Беларусь	1975	8.00	1.75	21.82%	9415.4	0.12%	207600	0.14%
TKM	Туркменистан	1975	15.50	10.15	65.48%	6031.2	0.08%	488100	0.32%
TJK	Таджикистан	1979	0.40	0.02	4.35%	9475.2	0.12%	143100	0.10%
GEO	Грузия	1980	3.00	0.02	0.54%	3898.5	0.05%	69700	0.05%
UZB	Узбекистан	1998	5.70	0.35	6.19%	33235.8	0.43%	447400	0.30%
LTU	Литва	2001	0.50	0.04	7.11%	2852.5	0.04%	65300	0.04%
AZE	Азербайджан	2010	50.83	34.58	68.03%	10099.7	0.13%	86600	0.06%
KAZ	Казахстан	2019	90.48	85.58	94.58%	18777.1	0.24%	2724900	1.81%
RUS	Россия	2019	560.20	512.70	91.52%	143786.8	1.85%	17098246	11.36%
	Всего Former CIS:	2019	701.34	701.34	100.00%	297603.3	3.83%	22307772	14.82%
