DJI	Джибути	-999	-999.00	-999.00	100.00%	999.9	0.01%	23200	0.02%
LBN	Ливан	-999	-999.00	-999.00	100.00%	6019.8	0.08%	10452	0.01%
PSE	Палестинские территории	-999	-999.00	-999.00	100.00%	5322.6	0.07%	6020	0.00%
JOR	Иордания	1986	0.05	-999.00	-1998000.00%	10208.7	0.13%	89342	0.06%
KWT	Кувейт	1972	167.35	121.10	72.36%	4302.9	0.06%	17818	0.01%
IRN	Иран	1974	303.20	129.82	42.82%	83587.1	1.08%	1648195	1.10%
ISR	Израиль	1981	1.80	0.02	0.85%	8713.6	0.11%	28292	0.02%
YEM	Йемен	2002	20.94	3.08	14.71%	30245.3	0.39%	527968	0.35%
SYR	Сирия	2002	30.81	1.60	5.19%	18924.4	0.24%	185180	0.12%
QAT	Катар	2013	67.03	59.44	88.68%	2791.8	0.04%	11586	0.01%
BHR	Бахрейн	2016	10.11	8.67	85.76%	1697.8	0.02%	765	0.00%
ARE	ОАЭ	2016	158.53	144.85	91.37%	9813.2	0.13%	83600	0.06%
OMN	Оман	2016	49.32	46.11	93.49%	5149.7	0.07%	309500	0.21%
SAU	Саудовская Аравия	2016	524.03	460.88	87.95%	34709.6	0.45%	2149690	1.43%
IRQ	Ирак	2019	231.76	199.69	86.16%	41502.9	0.53%	438317	0.29%
	Всего Middle East:	2018	1416.37	1343.78	94.87%	263989.3	3.40%	5529925	3.67%
