ATA	Антарктида					2.5	0.00%	14200000	9.44%
ARM	Армения					2938.7	0.04%	29743	0.02%
AFG	Афганистан					34135.6	0.44%	652864	0.43%
BHS	Багамы					406.8	0.01%	13943	0.01%
BEL	Бельгия					11620.0	0.15%	30528	0.02%
BIH	Босния и Герцоговина					3498.2	0.05%	51209	0.03%
BWA	Ботсвана					2415.8	0.03%	581730	0.39%
BFA	Буркина-Фасо					20903.3	0.27%	274222	0.18%
BDI	Бурунди					11939.2	0.15%	27834	0.02%
BTN	Бутан					835.2	0.01%	38394	0.03%
HTI	Гаити					11371.2	0.15%	27750	0.02%
GMB	Гамбия					2293.5	0.03%	11295	0.01%
GIN	Гвинея					13750.8	0.18%	245857	0.16%
GNB	Гвинея-Биссау					2000.7	0.03%	36125	0.02%
HND	Гондурас					9719.3	0.13%	112492	0.07%
GRL	Гренландия					56.8	0.00%	2166086	1.44%
DJI	Джибути					999.9	0.01%	23200	0.02%
DOM	Доминиканская Республика					11108.4	0.14%	48671	0.03%
ZMB	Замбия					18679.3	0.24%	752612	0.50%
ESH	Западная Сахара					597.3	0.01%	266000	0.18%
ZWE	Зимбабве					17680.5	0.23%	390757	0.26%
IRL	Ирландия					4888.0	0.06%	70273	0.05%
ISL	Исландия					343.2	0.00%	103000	0.07%
KHM	Камбоджа					16715.5	0.22%	181035	0.12%
KEN	Кения					53491.7	0.69%	580367	0.39%
CYP	Кипр					1207.3	0.02%	9251	0.01%
KOS	Косово					1810.5	0.02%	10887	0.01%
CRI	Коста-Рика					5044.2	0.06%	51100	0.03%
LAO	Лаос					7164.8	0.09%	236800	0.16%
LVA	Латвия					1893.0	0.02%	64559	0.04%
LSO	Лесото					2322.2	0.03%	30355	0.02%
LBR	Либерия					5103.9	0.07%	111369	0.07%
LBN	Ливан					6019.8	0.08%	10452	0.01%
LUX	Люксембург					603.9	0.01%	2586	0.00%
MDG	Мадагаскар					27690.8	0.36%	587041	0.39%
MWI	Малави					20283.7	0.26%	118484	0.08%
MLI	Мали					20284.2	0.26%	1240192	0.82%
MINI	Малые острова и территории					22951.7	0.30%	92450	0.06%
MOZ	Мозамбик					32309.2	0.42%	801590	0.53%
MDA	Молдова					4017.7	0.05%	33846	0.02%
NAM	Намибия					2696.5	0.03%	825615	0.55%
NPL	Непал					30260.2	0.39%	147181	0.10%
NIC	Никарагуа					6416.6	0.08%	130373	0.09%
NCL	Новая Каледония					286.9	0.00%	18575	0.01%
PSE	Палестинские территории					5322.6	0.07%	6020	0.00%
PAN	Панама					4289.3	0.06%	75417	0.05%
PRY	Парагвай					7066.3	0.09%	406752	0.27%
PRT	Португалия					10218.4	0.13%	92090	0.06%
PRI	Пуэрто-Рико					3650.6	0.05%	9104	0.01%
RWA	Руанда					13087.2	0.17%	26338	0.02%
SLV	Сальвадор					6479.1	0.08%	21041	0.01%
SWZ	Свазиленд					1439.3	0.02%	17364	0.01%
PRK	Северная Корея					25840.9	0.33%	120540	0.08%
MKD	Македония					2088.0	0.03%	25713	0.02%
SEN	Сенегал					17200.2	0.22%	196722	0.13%
SOM	Сомалия					16105.2	0.21%	637657	0.42%
SLE	Сьерра-Леоне					8046.9	0.10%	71740	0.05%
TZA	Танзания					62774.6	0.81%	945087	0.63%
TGO	Того					8384.3	0.11%	56785	0.04%
UGA	Уганда					47187.7	0.61%	241550	0.16%
URY	Уругвай					3494.4	0.04%	176215	0.12%
FJI	Фиджи					924.9	0.01%	18274	0.01%
FIN	Финляндия					5580.1	0.07%	338424	0.22%
GUF	Французская Гвиана					304.0	0.00%	83534	0.06%
CAF	Центрально-Африканская Республика					4920.9	0.06%	622984	0.41%
MNE	Монтенегро					629.4	0.01%	13812	0.01%
CHE	Швейцария					8670.5	0.11%	41284	0.03%
LKA	Шри-Ланка					21084.0	0.27%	65610	0.04%
ERI	Эритрея					5432.2	0.07%	117600	0.08%
EST	Эстония					1300.6	0.02%	45227	0.03%
ETH	Эфиопия					112759.1	1.45%	1104300	0.73%
KOR	Южная Корея					51507.0	0.66%	100210	0.07%
JAM	Ямайка					2913.2	0.04%	10991	0.01%
SWE	Швеция	1976	0.0			10121.7	0.13%	450295	0.30%
BEN	Бенин	1985	0.4			12123.0	0.16%	114763	0.08%
JOR	Иордания	1986	0.1			10208.7	0.13%	89342	0.06%
SVN	Словения	1993	0.0			2082.1	0.03%	20273	0.01%
MRT	Мавритания	2006	1.5			4783.8	0.06%	1030700	0.68%
	Всего группа 1:	2006	1.5			948778.5	12.21%	32832451	21.82%
