KWT	Кувейт	1972	167.35	121.10	72.36%	4302.9	0.06%	17818	0.01%
CAN	Канада	1973	96.97	61.85	63.78%	37603.2	0.48%	9984670	6.63%
IRN	Иран	1974	303.20	129.82	42.82%	83587.1	1.08%	1648195	1.10%
NOR	Норвегия	1997	156.23	81.46	52.14%	5449.7	0.07%	323802	0.22%
GBR	Великобритания	1999	137.10	45.14	32.92%	67334.2	0.87%	242495	0.16%
MEX	Мексика	2004	173.72	87.59	50.42%	133870.0	1.72%	1964375	1.31%
DZA	Алжир	2006	75.91	49.08	64.66%	43333.3	0.56%	2381741	1.58%
AGO	Ангола	2008	91.50	62.82	68.66%	32827.4	0.42%	1246700	0.83%
QAT	Катар	2013	67.03	59.44	88.68%	2791.8	0.04%	11586	0.01%
COL	Колумбия	2013	53.19	41.27	77.59%	50220.4	0.65%	1141748	0.76%
CHN	КНР	2015	214.56	194.77	90.78%	1424588.4	18.33%	9635940	6.40%
ARE	ОАЭ	2016	158.53	144.85	91.37%	9813.2	0.13%	83600	0.06%
OMN	Оман	2016	49.32	46.11	93.49%	5149.7	0.07%	309500	0.21%
SAU	Саудовская Аравия	2016	524.03	460.88	87.95%	34709.6	0.45%	2149690	1.43%
IRQ	Ирак	2019	231.76	199.69	86.16%	41502.9	0.53%	438317	0.29%
KAZ	Казахстан	2019	90.48	85.58	94.58%	18777.1	0.24%	2724900	1.81%
RUS	Россия	2019	560.20	512.70	91.52%	143786.8	1.85%	17098246	11.36%
USA	США	2019	572.30	524.41	91.63%	331431.5	4.26%	9525067	6.33%
BRA	Бразилия	2020	156.07	156.07	100.00%	213863.0	2.75%	8515767	5.66%
	Всего крупные производители:	2018	3366.60	3149.20	93.54%	2684942.4	34.54%	69444157	46.14%
