#
# CO2 emission calibration file
#
# data obtained from:
#    BP World Energy Report – 2019
#    Energy Information Administration: www.eia.gov
# Note that BP decreased historical gas production estimeates by 4.5% in 2018
#
# conversion factors:
# coal 3.96 tCO2/toe
# oil  3.07 tCO2/toe
# gas  2.35 tCO2/toe
# cement estimated at 200 mln t carbon in 2015, with a tail of 0.94
#
# note that tCO2/tCarbon = 2*16.00/12.01 + 1 = 3.66
# Accuracy of the total result +- 15%
#
Year,Coal,Oil,Gas,Cement,Total,BP_2019
1800,18.3,0.0,0.0,0.0,18.3,-999.0
1801,18.9,0.0,0.0,0.0,18.9,-999.0
1802,19.6,0.0,0.0,0.0,19.6,-999.0
1803,20.3,0.0,0.0,0.0,20.3,-999.0
1804,21.0,0.0,0.0,0.0,21.0,-999.0
1805,21.7,0.0,0.0,0.0,21.7,-999.0
1806,22.5,0.0,0.0,0.0,22.5,-999.0
1807,23.3,0.0,0.0,0.0,23.3,-999.0
1808,24.1,0.0,0.0,0.0,24.1,-999.0
1809,24.9,0.0,0.0,0.0,25.0,-999.0
1810,25.8,0.0,0.0,0.0,25.8,-999.0
1811,26.7,0.0,0.0,0.0,26.7,-999.0
1812,27.7,0.0,0.0,0.0,27.7,-999.0
1813,28.6,0.0,0.0,0.0,28.7,-999.0
1814,29.6,0.0,0.0,0.0,29.7,-999.0
1815,30.7,0.0,0.0,0.0,30.7,-999.0
1816,31.8,0.0,0.0,0.0,31.8,-999.0
1817,32.9,0.0,0.0,0.0,32.9,-999.0
1818,34.0,0.0,0.0,0.0,34.1,-999.0
1819,35.2,0.0,0.0,0.0,35.3,-999.0
1820,36.5,0.0,0.0,0.0,36.5,-999.0
1821,37.8,0.0,0.0,0.0,37.8,-999.0
1822,39.1,0.0,0.0,0.0,39.1,-999.0
1823,40.5,0.0,0.0,0.0,40.5,-999.0
1824,41.9,0.0,0.0,0.0,42.0,-999.0
1825,43.4,0.0,0.0,0.0,43.4,-999.0
1826,44.9,0.0,0.1,0.0,45.0,-999.0
1827,46.5,0.0,0.1,0.0,46.6,-999.0
1828,48.1,0.0,0.1,0.0,48.2,-999.0
1829,49.8,0.0,0.1,0.0,49.9,-999.0
1830,51.6,0.0,0.1,0.0,51.7,-999.0
1831,53.4,0.0,0.1,0.0,53.5,-999.0
1832,55.2,0.0,0.1,0.0,55.4,-999.0
1833,57.2,0.0,0.1,0.0,57.3,-999.0
1834,59.2,0.0,0.1,0.0,59.3,-999.0
1835,61.3,0.0,0.1,0.0,61.4,-999.0
1836,63.4,0.0,0.1,0.0,63.6,-999.0
1837,65.7,0.0,0.1,0.0,65.8,-999.0
1838,68.0,0.0,0.1,0.0,68.2,-999.0
1839,70.4,0.0,0.1,0.0,70.6,-999.0
1840,72.9,0.0,0.1,0.1,73.1,-999.0
1841,75.4,0.0,0.2,0.1,75.6,-999.0
1842,78.1,0.0,0.2,0.1,78.3,-999.0
1843,80.8,0.0,0.2,0.1,81.1,-999.0
1844,83.7,0.0,0.2,0.1,83.9,-999.0
1845,86.6,0.0,0.2,0.1,86.9,-999.0
1846,89.7,0.0,0.2,0.1,90.0,-999.0
1847,92.8,0.0,0.2,0.1,93.1,-999.0
1848,96.1,0.0,0.3,0.1,96.4,-999.0
1849,99.5,0.0,0.3,0.1,99.8,-999.0
1850,103.0,0.0,0.3,0.1,103.4,-999.0
1851,106.6,0.0,0.3,0.1,107.0,-999.0
1852,110.3,0.0,0.3,0.1,110.8,-999.0
1853,114.2,0.0,0.4,0.1,114.7,-999.0
1854,118.2,0.0,0.4,0.1,118.8,-999.0
1855,122.4,0.0,0.4,0.1,123.0,-999.0
1856,126.7,0.0,0.5,0.1,127.3,-999.0
1857,131.2,0.0,0.5,0.1,131.8,-999.0
1858,135.8,0.0,0.5,0.2,136.5,-999.0
1859,140.6,0.0,0.6,0.2,141.3,-999.0
1860,145.5,0.3,0.6,0.2,146.6,-999.0
1861,150.6,0.9,0.7,0.2,152.4,-999.0
1862,155.9,1.2,0.7,0.2,158.1,-999.0
1863,161.4,0.9,0.8,0.2,163.3,-999.0
1864,167.1,0.9,0.8,0.2,169.1,-999.0
1865,173.0,0.9,0.9,0.2,175.0,-999.0
1866,179.1,1.5,1.0,0.3,181.8,-999.0
1867,185.4,1.5,1.0,0.3,188.2,-999.0
1868,191.9,2.5,1.1,0.3,195.8,-999.0
1869,198.7,2.8,1.2,0.3,203.0,-999.0
1870,205.7,3.1,1.3,0.3,210.4,-999.0
1871,212.9,3.1,1.4,0.3,217.7,-999.0
1872,220.4,3.4,1.5,0.4,225.7,-999.0
1873,228.2,4.6,1.6,0.4,234.8,-999.0
1874,236.2,5.5,1.7,0.4,243.8,-999.0
1875,244.5,6.1,1.9,0.4,252.9,-999.0
1876,253.1,5.2,2.0,0.5,260.8,-999.0
1877,262.0,7.4,2.1,0.5,272.1,-999.0
1878,271.2,8.3,2.3,0.5,282.4,-999.0
1879,280.8,10.4,2.5,0.6,294.2,-999.0
1880,290.7,12.9,2.7,0.6,306.8,-999.0
1881,300.9,14.4,2.9,0.6,318.8,-999.0
1882,311.5,16.0,3.1,0.7,331.3,-999.0
1883,322.5,13.8,3.3,0.7,340.3,-999.0
1884,333.8,15.7,3.6,0.8,353.8,-999.0
1885,345.5,16.3,3.8,0.8,366.5,-999.0
1886,357.7,18.7,4.1,0.9,381.4,-999.0
1887,370.3,20.3,4.4,0.9,396.0,-999.0
1888,383.3,22.1,4.8,1.0,411.2,-999.0
1889,396.8,25.2,5.1,1.0,428.2,-999.0
1890,410.8,24.6,5.5,1.1,442.0,-999.0
1891,425.3,27.0,5.9,1.2,459.4,-999.0
1892,440.2,29.8,6.4,1.3,477.7,-999.0
1893,455.7,32.2,6.9,1.3,496.1,-999.0
1894,471.8,34.7,7.4,1.4,515.2,-999.0
1895,488.4,37.1,7.9,1.5,534.9,-999.0
1896,505.5,39.9,8.5,1.6,555.6,-999.0
1897,523.3,42.4,9.2,1.7,576.6,-999.0
1898,541.8,44.8,9.9,1.8,598.2,-999.0
1899,560.8,47.3,10.6,1.9,620.7,-999.0
1900,580.6,50.0,11.4,2.1,644.0,-999.0
1901,601.0,55.9,12.3,2.2,671.3,-999.0
1902,622.2,62.0,13.2,2.3,699.7,-999.0
1903,644.1,67.8,14.2,2.5,728.5,-999.0
1904,666.7,74.0,15.2,2.6,758.6,-999.0
1905,690.2,79.8,16.4,2.8,789.2,-999.0
1906,714.5,86.0,17.6,3.0,821.1,-999.0
1907,739.6,91.8,18.9,3.2,853.5,-999.0
1908,765.7,97.9,20.4,3.4,887.3,-999.0
1909,792.6,103.8,21.9,3.6,921.9,-999.0
1910,820.5,109.9,23.5,3.8,957.8,-999.0
1911,849.4,123.4,25.3,4.1,1002.2,-999.0
1912,879.3,136.9,27.2,4.3,1047.7,-999.0
1913,910.2,150.4,29.3,4.6,1094.5,-999.0
1914,942.3,164.2,31.5,4.9,1142.8,-999.0
1915,975.4,177.8,33.8,5.2,1192.3,-999.0
1916,1009.8,191.3,36.4,5.5,1243.0,-999.0
1917,1045.3,204.8,39.1,5.9,1295.1,-999.0
1918,1082.1,218.6,42.1,6.3,1349.0,-999.0
1919,1120.2,232.1,45.2,6.7,1404.2,-999.0
1920,1159.6,245.6,48.6,7.1,1461.0,-999.0
1921,1200.4,269.5,52.3,7.6,1529.8,-999.0
1922,1242.7,293.5,56.2,8.0,1600.5,-999.0
1923,1286.4,317.4,60.5,8.6,1672.8,-999.0
1924,1331.7,341.4,65.0,9.1,1747.2,-999.0
1925,1378.6,365.3,69.9,9.7,1823.5,-999.0
1926,1427.1,389.3,75.2,10.3,1901.9,-999.0
1927,1477.3,413.2,80.8,12.0,1983.4,-999.0
1928,1529.3,437.2,86.9,12.0,2065.4,-999.0
1929,1583.1,461.1,93.5,12.0,2149.7,-999.0
1930,1638.8,485.1,100.5,12.0,2236.5,-999.0
1931,1696.5,509.9,108.1,12.0,2326.5,-999.0
1932,1756.2,534.8,116.2,8.6,2415.8,-999.0
1933,1818.1,559.4,124.9,8.6,2511.0,-999.0
1934,1882.0,584.2,134.3,10.3,2610.9,-999.0
1935,1948.3,609.1,144.5,10.3,2712.2,-999.0
1936,2016.9,634.0,155.3,10.3,2816.5,-999.0
1937,2087.9,658.5,167.0,15.5,2928.8,-999.0
1938,2161.3,683.4,179.6,15.5,3039.8,-999.0
1939,2237.4,708.2,193.1,15.5,3154.2,-999.0
1940,2316.2,736.2,207.7,15.5,3275.5,-999.0
1941,2397.7,813.6,223.3,15.5,3450.0,-999.0
1942,2482.1,891.2,240.1,12.0,3625.4,-999.0
