#
# Canada tar sand production
# thousand barrels per day
# https://www.oilsandsmagazine.com/projects/bitumen-production
#
Year	Mined	Total
1967	5	5
1968	17	17
1969	33	33
1970	39	39
1971	51	51
1972	61	61
1973	60	60
1974	55	55
1975	52	52
1976	58	58
1977	55	55
1978	67	67
1979	109	109
1980	154	164
1981	130	143
1982	124	146
1983	179	204
1984	161	194
1985	198	250
1986	222	315
1987	217	333
1988	241	371
1989	246	375
1990	250	385
1991	271	394
1992	285	412
1993	292	424
1994	314	449
1995	335	481
1996	337	501
1997	347	585
1998	366	654
1999	403	668
2000	380	668
2001	424	725
2002	540	843
2003	610	959
2004	703	1087
2005	627	1066
2006	761	1255
2007	785	1321
2008	722	1305
2009	826	1490
2010	857	1613
2011	892	1744
2012	930	1922
2013	977	2086
2014	1039	2305
2015	1162	2527
2016	1147	2538
2017	1276	2839
2018	1473	3049
2019	1552	3101
2020	1488	2980
