Year	Coal_P	Oil_P	Gas_P	Total_P	Coal_C	Oil_C	Gas_C	Total_C	Import	Population	Production_PC	Consumption_PC	Import_PC
1965	37.5	3.0	1.5	42.0	36.9	16.9	1.5	54.3	12.3	615.6	68	88	20
1966	37.2	4.6	1.7	43.5	36.6	18.5	1.7	55.6	12.0	629.5	69	88	19
1967	37.7	5.7	2.0	45.4	37.2	19.4	2.0	57.3	11.9	643.9	71	89	18
1968	39.1	5.9	2.2	47.2	38.5	21.7	2.2	61.0	13.8	658.6	72	93	21
1969	41.3	6.7	2.8	50.8	40.7	24.7	2.7	66.7	15.9	673.8	75	99	24
1970	39.1	6.8	3.0	48.9	38.5	25.1	3.0	64.9	16.0	689.3	71	94	23
1971	39.4	7.2	3.1	49.7	38.8	26.4	3.1	66.5	16.8	705.2	70	94	24
1972	41.5	7.4	3.3	52.2	40.9	27.5	3.3	70.4	18.2	721.5	72	98	25
1973	41.0	7.2	3.8	52.0	40.4	28.9	3.8	71.4	19.4	738.2	70	97	26
1974	46.1	7.5	4.2	57.8	45.4	28.6	4.2	76.0	18.2	755.4	77	101	24
1975	49.5	8.3	4.8	62.6	48.8	29.4	4.8	81.7	19.2	773.3	81	106	25
1976	51.5	8.7	5.2	65.4	50.8	30.7	5.2	84.9	19.5	791.7	83	107	25
1977	54.0	10.2	5.7	69.8	53.2	32.7	5.7	89.7	19.8	810.8	86	111	24
1978	52.3	11.3	6.0	69.6	51.5	35.5	6.0	91.8	22.2	830.4	84	110	27
1979	55.5	12.8	6.9	75.3	54.7	38.2	6.9	97.6	22.3	850.7	89	115	26
1980	58.4	9.4	7.3	75.1	57.5	39.3	7.3	102.0	26.8	871.5	86	117	31
1981	64.5	15.0	8.5	87.9	64.7	42.2	8.5	113.9	26.0	893.0	98	128	29
1982	63.9	19.9	9.9	93.7	64.2	44.3	9.9	115.6	22.0	915.0	102	126	24
1983	67.6	25.4	10.4	103.4	68.1	46.6	10.4	124.9	21.5	937.5	110	133	23
1984	71.1	28.2	11.2	110.5	71.6	49.7	11.2	132.3	21.8	960.3	115	138	23
1985	73.4	30.2	12.3	115.8	75.1	53.6	12.3	140.8	25.0	983.5	118	143	25
1986	78.8	31.6	14.5	124.9	80.8	56.5	14.5	149.4	24.5	1006.8	124	148	24
1987	86.4	30.7	16.2	133.3	88.8	58.9	16.2	164.1	30.8	1030.3	129	159	30
1988	91.9	32.3	18.2	142.4	95.2	64.1	18.2	177.6	35.2	1054.0	135	168	33
1989	99.9	34.4	20.2	154.5	103.5	69.1	20.2	192.7	38.1	1077.8	143	179	35
1990	107.6	34.2	22.7	164.4	112.1	71.7	22.7	204.7	40.3	1101.6	149	186	37
1991	114.9	32.2	24.6	171.7	118.9	73.2	24.6	217.2	45.5	1125.3	153	193	40
1992	121.3	29.2	26.1	176.6	125.9	77.7	26.1	230.3	53.7	1149.0	154	200	47
1993	125.4	27.9	28.3	181.5	130.3	79.6	28.3	243.1	61.6	1172.7	155	207	52
1994	127.4	32.4	29.8	189.6	134.4	85.5	29.8	252.6	63.0	1196.5	158	211	53
1995	134.5	36.6	32.5	203.7	142.8	95.4	32.5	270.8	67.1	1220.5	167	222	55
1996	144.2	34.8	35.4	214.4	146.7	102.5	35.4	285.7	71.4	1244.7	172	230	57
1997	148.8	35.6	36.7	221.1	153.4	109.1	36.7	298.5	77.4	1269.1	174	235	61
1998	148.0	34.7	39.6	222.3	158.2	116.3	39.6	312.5	90.2	1293.5	172	242	70
1999	144.8	34.6	42.5	221.9	156.7	125.2	42.5	328.8	106.9	1317.9	168	249	81
2000	153.7	34.2	45.0	232.9	166.7	131.8	45.0	347.2	114.3	1342.2	174	259	85
2001	155.7	34.2	46.9	236.8	168.2	132.8	46.9	348.1	111.4	1366.4	173	255	82
2002	162.6	35.2	49.7	247.6	175.9	139.7	49.7	373.3	125.8	1390.4	178	268	90
2003	169.6	35.4	56.3	261.2	184.7	140.9	56.3	389.4	128.2	1414.3	185	275	91
2004	183.1	36.3	61.2	280.7	196.6	143.8	63.4	407.2	126.6	1437.9	195	283	88
2005	191.4	34.9	64.0	290.3	215.5	146.1	69.0	437.3	147.0	1461.3	199	299	101
2006	200.0	36.0	65.2	301.2	223.8	155.1	71.8	458.2	156.9	1484.4	203	309	106
2007	212.0	36.4	67.2	315.6	246.1	166.6	75.6	503.5	187.9	1507.3	209	334	125
2008	229.2	37.8	69.1	336.2	266.0	173.2	78.2	525.1	188.9	1529.9	220	343	123
2009	247.6	38.0	77.0	362.7	286.6	182.4	88.2	563.5	200.8	1552.2	234	363	129
2010	253.9	41.3	87.7	382.9	295.9	185.4	97.6	584.9	202.0	1574.3	243	372	128
2011	252.3	42.9	84.1	379.3	309.6	194.6	99.1	601.7	222.4	1596.0	238	377	139
2012	256.4	42.5	81.9	380.8	335.4	205.0	97.7	631.2	250.4	1617.5	235	390	155
2013	257.1	42.5	76.2	375.7	357.5	207.8	91.6	652.2	276.4	1638.8	229	398	169
2014	271.0	41.6	75.1	387.7	394.1	214.3	91.6	690.9	303.1	1659.8	234	416	183
2015	282.5	41.2	76.6	400.2	403.4	232.6	94.8	719.6	319.4	1680.8	238	428	190
2016	285.7	40.2	75.4	401.4	408.8	257.9	99.6	775.2	373.8	1701.6	236	456	220
2017	288.4	40.4	76.5	405.4	426.3	267.3	104.2	798.9	393.6	1722.2	235	464	229
2018	309.8	39.5	76.7	426.0	467.1	273.9	111.8	838.4	412.4	1742.6	244	481	237
