Year	Coal_P	Oil_P	Gas_P	Total_P	Coal_C	Oil_C	Gas_C	Total_C	Import	Population	Production_PC	Consumption_PC	Import_PC
1965	85.9	30.6	2.2	118.7	84.6	130.5	2.2	212.6	93.9	412.9	287	515	227
1966	91.3	30.8	2.3	124.4	89.9	149.9	2.3	235.5	111.1	422.5	295	558	263
1967	97.8	33.5	2.6	133.9	96.3	179.5	2.6	270.5	136.6	432.3	310	626	316
1968	100.9	40.2	2.9	144.0	99.4	206.5	2.9	298.9	154.9	442.4	325	675	350
1969	107.0	43.0	3.9	153.9	105.5	237.6	3.9	337.5	183.5	452.8	340	745	405
1970	106.6	61.3	7.5	175.4	105.0	275.6	6.2	372.9	197.5	463.3	379	805	426
1971	103.1	72.0	9.0	184.2	101.6	299.1	7.3	393.4	209.3	474.0	389	830	441
1972	103.0	86.6	10.3	200.0	101.5	319.6	8.2	419.7	219.7	484.9	412	865	453
1973	109.6	106.0	13.2	228.8	108.0	361.6	10.6	465.1	236.4	495.8	461	938	477
1974	115.4	105.5	16.2	237.1	113.7	351.5	13.9	458.7	221.6	506.6	468	905	437
1975	114.2	103.7	18.1	236.0	112.5	340.1	16.4	462.4	226.4	517.2	456	894	438
1976	115.9	119.8	21.2	256.9	114.1	353.7	19.2	473.6	216.7	527.4	487	898	411
1977	116.4	131.6	26.7	274.7	114.7	368.0	25.0	493.2	218.5	537.3	511	918	407
1978	113.5	130.8	33.1	277.4	111.8	380.5	31.9	517.0	239.7	547.1	507	945	438
1979	121.7	133.4	38.5	293.6	119.9	391.1	37.7	531.6	238.0	557.0	527	955	427
1980	133.5	129.5	42.1	305.1	131.5	364.6	41.8	523.7	218.6	567.0	538	924	385
1981	121.0	125.8	42.6	289.4	142.7	351.8	42.9	530.5	241.1	577.2	501	919	418
1982	124.2	115.0	44.4	283.6	142.2	336.8	45.2	517.1	233.4	587.5	483	880	397
1983	126.7	123.1	51.9	301.7	144.1	339.7	51.3	535.0	233.3	598.0	505	895	390
1984	131.4	137.1	62.8	331.3	157.8	351.5	62.8	572.4	241.1	608.5	544	941	396
1985	150.8	134.2	68.4	353.4	167.3	338.1	68.8	576.5	223.1	619.0	571	931	360
1986	157.5	137.5	75.0	370.1	166.5	347.2	74.6	581.3	211.2	629.5	588	923	336
1987	159.8	137.7	79.7	377.3	170.0	355.1	79.1	606.5	229.2	639.9	590	948	358
1988	157.3	136.5	84.7	378.6	179.6	385.0	83.8	648.5	270.0	650.4	582	997	415
1989	166.1	142.6	87.5	396.2	182.2	407.9	88.5	680.0	283.8	661.0	599	1029	429
1990	169.0	153.4	92.4	414.7	184.5	443.6	92.9	717.9	303.2	671.7	617	1069	451
1991	173.9	161.9	101.5	437.3	185.5	460.4	102.7	750.8	313.4	682.5	641	1100	459
1992	182.3	163.3	107.8	453.5	181.1	488.9	110.7	783.8	330.3	693.5	654	1130	476
1993	183.9	164.7	113.6	462.2	183.8	502.5	114.9	808.5	346.3	704.5	656	1148	492
1994	187.5	167.6	125.4	480.5	188.1	538.0	126.4	859.7	379.2	715.2	672	1202	530
1995	198.8	166.5	131.0	496.3	194.2	561.7	131.3	891.6	395.3	725.7	684	1229	545
1996	207.3	170.5	142.8	520.6	203.2	580.8	142.9	931.5	410.9	735.8	707	1266	558
1997	222.3	171.7	151.8	545.8	213.5	600.5	155.1	972.3	426.5	745.7	732	1304	572
1998	227.5	171.0	151.8	550.3	210.2	564.8	155.9	923.8	373.5	755.3	729	1223	494
1999	243.6	167.5	160.5	571.6	224.7	582.7	169.2	994.2	422.6	764.8	747	1300	553
2000	252.7	184.8	170.0	607.5	242.1	588.4	182.1	1016.6	409.1	774.4	784	1313	528
2001	277.7	178.7	172.3	628.7	252.9	585.3	192.9	1032.7	404.0	784.0	802	1317	515
2002	290.1	176.6	183.5	650.2	264.6	590.5	200.6	1077.6	427.4	793.7	819	1358	539
2003	305.1	169.9	191.3	666.3	280.9	602.7	214.1	1109.8	443.6	803.3	829	1382	552
2004	329.7	168.5	199.0	697.2	291.2	609.7	218.2	1121.4	424.2	812.8	858	1380	522
2005	357.4	166.3	213.2	736.9	303.9	613.1	230.8	1156.8	419.9	822.0	897	1407	511
2006	389.2	159.9	218.9	768.0	308.6	605.0	244.5	1168.2	400.2	831.0	924	1406	482
2007	409.5	158.9	222.8	791.2	324.2	614.0	258.0	1225.2	434.0	839.8	942	1459	517
2008	429.6	160.2	227.8	817.6	341.6	603.1	270.9	1226.6	409.0	848.5	964	1446	482
2009	447.0	156.8	234.2	838.0	320.8	587.7	264.4	1186.1	348.0	857.2	978	1384	406
2010	468.4	159.2	254.3	881.9	353.9	605.0	289.0	1265.9	384.1	866.2	1018	1461	443
2011	512.4	150.2	253.7	916.3	361.3	625.8	303.4	1299.3	383.0	875.4	1047	1484	438
2012	549.1	151.0	259.4	959.5	369.4	652.1	326.1	1345.8	386.3	884.7	1084	1521	437
2013	620.8	142.1	265.2	1028.2	376.8	651.5	332.5	1366.8	338.6	894.1	1150	1529	379
2014	631.2	142.7	276.3	1050.1	372.9	647.2	335.4	1348.3	298.2	903.4	1162	1492	330
2015	633.5	144.8	291.8	1070.2	389.1	647.6	330.5	1352.8	282.6	912.5	1173	1483	310
2016	636.5	144.0	306.1	1086.5	395.8	664.1	326.7	1400.8	314.3	921.3	1179	1521	341
2017	624.7	137.2	317.6	1079.5	408.4	671.6	327.1	1415.9	336.5	929.8	1161	1523	362
2018	680.1	132.9	327.6	1140.6	421.9	676.8	331.6	1421.4	280.7	938.0	1216	1515	299
