#
# Backdated crude oil dicoveries in mln tonn per year
# After J.Laherrere, 2014
# Values bandled and averaged over 5-year intervals
#
Year,Discovery
1900,285
1901,285
1902,285
1903,285
1904,285
1905,190
1906,190
1907,190
1908,190
1909,190
1910,285
1911,285
1912,285
1913,285
1914,285
1915,285
1916,285
1917,285
1918,285
1919,285
1920,380
1921,380
1922,380
1923,380
1924,380
1925,2185
1926,2185
1927,2185
1928,2185
1929,2185
1930,950
1931,950
1932,950
1933,950
1934,950
1935,2945
1936,2945
1937,2945
1938,2945
1939,2945
1940,1805
1941,1805
1942,1805
1943,1805
1944,1805
1945,5225
1946,5225
1947,5225
1948,5225
1949,5225
1950,3705
1951,3705
1952,3705
1953,3705
1954,3705
1955,4560
1956,4560
1957,4560
1958,4560
1959,4560
1960,5890
1961,5890
1962,5890
1963,5890
1964,5890
1965,4940
1966,4940
1967,4940
1968,4940
1969,4940
1970,3895
1971,3895
1972,3895
1973,3895
1974,3895
1975,4085
1976,4085
1977,4085
1978,4085
1979,4085
1980,2565
1981,2565
1982,2565
1983,2565
1984,2565
1985,2185
1986,2185
1987,2185
1988,2185
1989,2185
1990,1520
1991,1520
1992,1520
1993,1520
1994,1520
1995,1805
1996,1805
1997,1805
1998,1805
1999,1805
2000,1805
2001,1805
2002,1805
2003,1805
2004,1805
2005,1900
2006,1900
2007,1900
2008,1900
2009,1900
2010,1235
2011,1235
2012,1235
2013,1235
2014,1235
