Index	Region, subregion, country or area *	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
1	WORLD	7383008.82	7458174.982	7529619.677	7597815.559	7663136.954	7725860.308	7786159.167	7844109.323	7899703.188	7952874.306	8003570.926	8051834.477	8097867.833	8142065.001	8184927.841	8226820.8	8267900.651	8308100.495	8347275.58	8385173.339	8421592.19	8456494.159	8489897.121	8521711.545	8551838.603	8580188.784	8606709.61399999	8631347.857	8654016.336	8674621.492	8693091.461	8709391.25	8723511.287	8735441.407	8745184.856	8752754.583	8758158.733	8761425.059	8762618.408	8761823.238	8759118.425	8754544.538	8748148.455	8740024.486	8730280.78200001	8719007.601	8706258.714	8692065.77699999	8676468.662	8659499.256	8641184.048	8621556.61	8600636.493	8578415.092	8554870.37600001	8529987.886	8503782.543	8476271.611	8447446.384	8417292.417	8385806.721	8353003.292	8318911.232	8283563.46	8247000.785	8209264.662	8170384.949	8130398.268	8089362.65800001	8047344.794	8004404.355	7960584.837	7915921.721	7870457.325	7824232.368	7777285.959	7729655.304	7681375.693	7632480.686	7583002.133	7532970.369	7482414.119	7431360.476	7379835.121	7327862.146	7275464.054
2	More developed regions	1253206.546	1255406.488	1257051.746	1258201.075	1258905.354	1259207.013	1259140.506	1258731.949	1258000.568	1256960.256	1255624.649	1254012.635	1252153.052	1250086.811	1247860.951	1245511.941	1243061.595	1240514.119	1237864.79	1235099.372	1232207.338	1229190.589	1226055.899	1222802.491	1219428.923	1215932.791	1212312.825	1208565.205	1204681.756	1200652.281	1196468.309	1192129.171	1187633.423	1182970.799	1178128.995	1173101.003	1167886.242	1162492.302	1156931.513	1151220.905	1145376.329	1139405.623	1133317.349	1127129.133	1120861.166	1114530.859	1108148.399	1101721.736	1095263.761	1088787.437	1082302.972	1075818.314	1069336.521	1062855.941	1056371.765	1049880.189	1043381.867	1036878.506	1030368.66	1023850.014	1017320.496	1010779.987	1004227.069	997657.275	991065.065	984446.427	977799.626	971125.745	964427.049	957707.358	950969.713	944214.416	937441.448	930653.092	923851.885	917039.841	910217.67	903385.13	896541.238	889684.772	882814.52	875929.402	869028.568	862111.376	855177.536	848226.816
3	Less developed regions	6129802.274	6202768.494	6272567.931	6339614.484	6404231.6	6466653.295	6527018.661	6585377.374	6641702.62	6695914.05	6747946.277	6797821.842	6845714.781	6891978.19	6937066.89	6981308.859	7024839.056	7067586.376	7109410.79	7150073.967	7189384.852	7227303.57	7263841.222	7298909.054	7332409.68	7364255.993	7394396.78899999	7422782.652	7449334.58	7473969.211	7496623.15200001	7517262.079	7535877.864	7552470.608	7567055.861	7579653.58	7590272.491	7598932.757	7605686.895	7610602.333	7613742.096	7615138.915	7614831.106	7612895.353	7609419.61600001	7604476.742	7598110.315	7590344.04099999	7581204.901	7570711.819	7558881.076	7545738.296	7531299.972	7515559.151	7498498.61100001	7480107.697	7460400.676	7439393.105	7417077.724	7393442.403	7368486.225	7342223.305	7314684.163	7285906.185	7255935.72	7224818.235	7192585.323	7159272.523	7124935.60900001	7089637.436	7053434.642	7016370.421	6978480.273	6939804.233	6900380.483	6860246.118	6819437.634	6777990.563	6735939.448	6693317.361	6650155.849	6606484.717	6562331.908	6517723.745	6472684.61	6427237.238
4	Least developed countries	956631.108	978170.717	999681.109	1021219.358	1042825.286	1064521.357	1086311.844	1108183.607	1130109.173	1152050.928	1173975.405	1195868.016	1217745.92	1239663.793	1261698.055	1283900.196	1306281.533	1328813.832	1351459.38	1374162.647	1396876.306	1419580.922	1442265.213	1464898.029	1487445.991	1509878.475	1532173.39	1554309.793	1576261.151	1598000.124	1619503.446	1640751.528	1661731.551	1682435.952	1702861.743	1723004.636	1742854.511	1762400.339	1781636.757	1800559.68	1819164.353	1837442.386	1855385.99	1872991.922	1890258.124	1907180.275	1923751.22	1939959.872	1955793.46	1971237.283	1986277.189	2000902.983	2015104.3	2028866.785	2042174.924	2055014.69	2067376.224	2079250.429	2090625.559	2101489.612	2111832.707	2121647.866	2130930.513	2139676.627	2147883.613	2155549.79	2162673.598	2169254.819	2175295.985	2180801.015	2185774.253	2190218.764	2194138.324	2197539.341	2200429.316	2202815.647	2204705.326	2206104.809	2207020.634	2207459.577	2207429.334	2206938.253	2205995.872	2204612.473	2202799.331	2200568.654
5	Less developed regions, excluding least developed countries	5173171.166	5224597.777	5272886.822	5318395.126	5361406.314	5402131.938	5440706.817	5477193.767	5511593.447	5543863.122	5573970.872	5601953.826	5627968.861	5652314.397	5675368.835	5697408.663	5718557.523	5738772.544	5757951.41	5775911.32	5792508.546	5807722.648	5821576.009	5834011.025	5844963.689	5854377.518	5862223.399	5868472.859	5873073.429	5875969.087	5877119.706	5876510.551	5874146.313	5870034.656	5864194.118	5856648.944	5847417.98	5836532.418	5824050.138	5810042.653	5794577.743	5777696.529	5759445.116	5739903.431	5719161.492	5697296.467	5674359.095	5650384.169	5625411.441	5599474.536	5572603.887	5544835.313	5516195.672	5486692.366	5456323.687	5425093.007	5393024.452	5360142.676	5326452.165	5291952.791	5256653.518	5220575.439	5183753.65	5146229.558	5108052.107	5069268.445	5029911.725	4990017.704	4949639.624	4908836.421	4867660.389	4826151.657	4784341.949	4742264.892	4699951.167	4657430.471	4614732.308	4571885.754	4528918.814	4485857.784	4442726.515	4399546.464	4356336.036	4313111.272	4269885.279	4226668.584
6	Less developed regions, excluding China	4701441.323	4769455.459	4835309.14	4899325.043	4961749.423	5022753.183	5082427.032	5140786.342	5197782.115	5253320.737	5307322.839	5359785.883	5410838.74	5460765.406	5509938.578	5558623.388	5606918.825	5654749.687	5701986.213	5748416.766	5793869.403	5838299.831	5881705.798	5924000.029	5965087.695	6004883.957	6043334.42799999	6080389.504	6115978.855	6150030.717	6182488.134	6213311.643	6242483.1	6269996.885	6295861.065	6320084.343	6342662.618	6363596.112	6382908.372	6400632.21	6416797.688	6431416.426	6444503.555	6456097.974	6466245.649	6474983.213	6482332.056	6488299.001	6492888.282	6496097.395	6497925.617	6498383.099	6497479.196	6495210.341	6491569.102	6486552.108	6480167.951	6472426.982	6463330.72	6452879.315	6441078.829	6427942.655	6413492.146	6397752.196	6380752.391	6362523.055	6343089.137	6322479.114	6300732.36	6277892.941	6254002.121	6229096.927	6203209.159	6176370.03	6148609.235	6119959.131	6090456.421	6060141.433	6029057.034	5997247.101	5964755.405	5931624.99	5897897.964	5863615.536	5828817.853	5793544.286
7	High-income countries	1180060.957	1184809.912	1188942.366	1192519.852	1195597.815	1198224.939	1200443.712	1202290.026	1203794.032	1204980.912	1205873.519	1206495.198	1206872.362	1207035.426	1207015.781	1206837.138	1206518.091	1206062.324	1205458.139	1204683.816	1203723.073	1202574.364	1201243.417	1199729.329	1198031.809	1196149.644	1194081.282	1191823.21	1189370.839	1186718.52	1183861.772	1180801.99	1177538.701	1174063.493	1170365.785	1166440.152	1162287.885	1157918.432	1153345.983	1148589.473	1143666.495	1138586.105	1133358.124	1128002.212	1122540.996	1116993.578	1111371.023	1105681.334	1099936.628	1094148.641	1088326.544	1082477.976	1076605.737	1070706.931	1064775.148	1058805.219	1052797.263	1046752.531	1040668.673	1034542.262	1028370.399	1022153.247	1015889.604	1009574.437	1003201.79	996767.648	990270.966	983714.712	977104.037	970446.483	963748.569	957012.75	950241.075	943438.805	936611.783	929765	922901.959	916024.81	909134.842	902233.181	895320.821	888399.095	881469.769	874534.951	867597.146	860659.16
8	Middle-income countries	5558263.979	5611935.029	5662483.58	5710275.343	5755595.818	5798651.126	5839563.211	5878374.615	5915060.368	5949548.758	5981783.393	6011789.235	6039730.311	6065934.573	6090823.982	6114707.242	6137716.082	6159800.221	6180855.667	6200693.404	6219164.241	6236248.159	6251968.12	6266261.316	6279056.832	6290291.93	6299934.421	6307952.401	6314285.73	6318869.69	6321656.912	6322628.128	6321786.068	6319136.916	6314698.872	6308495.808	6300544.53	6290873.963	6279541.188	6266617.077	6252168.722	6236236.482	6218865.757	6200136.079	6180137.083	6158945.65	6136612.469	6113172.053	6088664.524	6063123.96	6036580.978	6009071.805	5980623.519	5951243.987	5920932.073	5889691.668	5857547.647	5824525.222	5790629.303	5755860.034	5720227.063	5683751.789	5646470.443	5608426.412	5569671.055	5530253.49	5490207.928	5449570.24	5408393.949	5366737.687	5324653.64	5282182.463	5239356.229	5196208.583	5152769.861	5109069.665	5065137.733	5021003.37	4976695.159	4932239.664	4887661.411	4842982.04	4798220.349	4753392.468	4708511.629	4663588.177
9	Upper-middle-income countries	2588362.98	2603596.763	2616772.95	2628101.677	2637764.82	2645916.108	2652679.972	2658152.77	2662405.962	2665491.995	2667460.951	2668378.708	2668342.654	2667488.507	2665971.14	2663908.135	2661372.265	2658372.609	2654879.314	2650826.654	2646165.529	2640897.582	2635044.662	2628597.526	2621545.278	2613876.678	2605588.866	2596672.941	2587104.053	2576851.972	2565895.03	2554231.661	2541868.477	2528803.975	2515039.168	2500581.496	2485442.603	2469644.865	2453222.782	2436219.522	2418676.775	2400620.954	2382083.082	2363115.958	2343779.44	2324125.64	2304187.363	2283989.706	2263567.233	2242953.181	2222175.21	2201259.077	2180220.386	2159062.598	2137781.558	2116376.231	2094859.961	2073246.18	2051533.374	2029716.403	2007795.428	1985778.116	1963680.719	1941522.886	1919328.6	1897120.007	1874910.319	1852713.087	1830551.068	1808449.535	1786429.774	1764504.275	1742682.451	1720978.647	1699406.673	1677976.557	1656693.403	1635557.772	1614566.706	1593714.512	1572994.209	1552397.268	1531914.346	1511535.089	1491248.076	1471040.878
10	Lower-middle-income countries	2969900.999	3008338.266	3045710.63	3082173.666	3117830.998	3152735.018	3186883.239	3220221.845	3252654.406	3284056.763	3314322.442	3343410.527	3371387.657	3398446.066	3424852.842	3450799.107	3476343.817	3501427.612	3525976.353	3549866.75	3572998.712	3595350.577	3616923.458	3637663.79	3657511.554	3676415.252	3694345.555	3711279.46	3727181.677	3742017.718	3755761.882	3768396.467	3779917.591	3790332.941	3799659.704	3807914.312	3815101.927	3821229.098	3826318.406	3830397.555	3833491.947	3835615.528	3836782.675	3837020.121	3836357.643	3834820.01	3832425.106	3829182.347	3825097.291	3820170.779	3814405.768	3807812.728	3800403.133	3792181.389	3783150.515	3773315.437	3762687.686	3751279.042	3739095.929	3726143.631	3712431.635	3697973.673	3682789.724	3666903.526	3650342.455	3633133.483	3615297.609	3596857.153	3577842.881	3558288.152	3538223.866	3517678.188	3496673.778	3475229.936	3453363.188	3431093.108	3408444.33	3385445.598	3362128.453	3338525.152	3314667.202	3290584.772	3266306.003	3241857.379	3217263.553	3192547.299
