#
# Crude attrition rate (computed from the UN via OurWorldInData)
# https://ourworldindata.org/fertility-rate
#
Year	Population	Growth_Rate	BR_Crude	AR_Crude
1950	2536.275	15.21	38.40	23.20
1951	2583.817	16.49	37.69	21.20
1952	2630.584	17.47	37.06	19.58
1953	2677.230	18.35	36.55	18.20
1954	2724.302	19.24	36.16	16.92
1955	2772.243	19.43	35.87	16.44
1956	2821.383	20.04	35.67	15.63
1957	2871.952	19.91	35.54	15.63
1958	2924.081	18.62	35.47	16.86
1959	2977.825	15.52	35.45	19.93
1960	3033.213	13.97	35.45	21.48
1961	3090.305	18.67	35.45	16.78
1962	3149.244	22.44	35.42	12.98
1963	3210.271	22.57	35.34	12.77
1964	3273.671	21.68	35.19	13.51
1965	3339.593	21.28	34.96	13.68
1966	3408.121	20.84	34.65	13.82
1967	3479.054	20.89	34.27	13.38
1968	3551.881	21.28	33.83	12.55
1969	3625.906	21.15	33.36	12.20
1970	3700.578	21.19	32.83	11.64
1971	3775.791	20.66	32.26	11.60
1972	3851.545	20.00	31.65	11.65
1973	3927.539	19.37	31.02	11.65
1974	4003.448	18.67	30.39	11.72
1975	4079.087	17.91	29.80	11.89
1976	4154.288	17.56	29.28	11.72
1977	4229.201	17.42	28.84	11.41
1978	4304.377	17.56	28.49	10.94
1979	4380.586	17.21	28.24	11.03
1980	4458.412	18.49	28.07	9.59
1981	4537.846	18.40	27.99	9.59
1982	4618.776	17.87	27.98	10.10
1983	4701.531	17.34	27.98	10.64
1984	4786.484	17.25	27.97	10.72
1985	4873.782	17.51	27.90	10.38
1986	4963.633	17.74	27.72	9.99
1987	5055.636	17.74	27.43	9.69
1988	5148.557	17.47	27.03	9.55
1989	5240.735	17.16	26.52	9.36
1990	5330.943	16.72	25.93	9.21
1991	5418.759	16.05	25.29	9.24
1992	5504.401	15.79	24.65	8.86
1993	5588.095	15.21	24.04	8.83
1994	5670.320	14.81	23.47	8.66
1995	5751.474	14.50	22.96	8.46
1996	5831.565	14.19	22.52	8.33
1997	5910.566	13.70	22.15	8.45
1998	5988.846	13.39	21.82	8.44
1999	6066.867	13.17	21.54	8.37
2000	6145.007	12.99	21.31	8.32
2001	6223.412	12.81	21.12	8.31
2002	6302.150	12.68	20.96	8.28
2003	6381.409	12.51	20.83	8.32
2004	6461.371	12.37	20.71	8.33
2005	6542.159	12.24	20.59	8.35
2006	6623.848	12.28	20.48	8.20
2007	6706.419	12.19	20.37	8.18
2008	6789.771	12.06	20.25	8.19
2009	6873.741	11.88	20.12	8.23
2010	6958.169	11.66	19.97	8.31
2011	7043.009	11.49	19.82	8.33
2012	7128.177	11.39	19.65	8.25
2013	7213.426	11.26	19.47	8.21
2014	7298.453	11.17	19.28	8.11
2015	7383.009	11.22	19.08	7.86
