#
# World-3 in JS by Brian Hayes
# BAU calibration run
# http://bit-player.org/extras/limits/ltg.html
# Time step 0.5 years
# Resource multiplier 1
# Consumption factor 0.43
#
Year	Population	GoodsPC	ServicesPC	FoodPC	PollutionIndex	Industrial	Services	Food	Pollution
1900	1630.1	42.9	82.2	284.2	0.18	69.9	134.0	463.2	24.8
1901	1630.1	44.2	82.2	278.8	0.18	72.1	134.0	454.5	24.8
1902	1630.1	44.2	82.2	278.8	0.18	72.1	134.0	454.5	24.8
1903	1673.0	45.6	80.1	276.1	0.18	76.2	134.0	462.0	24.8
1904	1673.0	46.9	80.1	276.1	0.18	78.5	134.0	462.0	24.8
1905	1715.8	48.3	78.1	276.1	0.18	82.8	134.0	473.8	24.8
1906	1715.8	49.6	78.1	276.1	0.18	85.1	134.0	473.8	24.8
1907	1758.7	49.6	76.2	278.8	0.18	87.2	134.0	490.4	24.8
1908	1758.7	50.9	91.5	278.8	0.18	89.6	160.9	490.4	24.8
1909	1801.6	52.3	89.3	278.8	0.18	94.2	160.9	502.3	24.8
1910	1844.5	53.6	87.2	278.8	0.18	98.9	160.9	514.3	24.8
1911	1844.5	55.0	87.2	281.5	0.18	101.4	160.9	519.2	24.8
1912	1887.4	56.3	85.3	281.5	0.18	106.3	160.9	531.3	24.8
1913	1930.2	57.6	83.4	284.2	0.18	111.3	160.9	548.5	24.8
1914	1930.2	57.6	97.2	284.2	0.18	111.3	187.7	548.5	24.8
1915	1844.5	59.0	101.8	284.2	0.18	108.8	187.7	524.2	24.8
1916	1930.2	60.3	97.2	286.9	0.18	116.4	187.7	553.7	24.8
1917	1930.2	63.0	97.2	289.5	0.18	121.6	187.7	558.9	24.8
1918	1930.2	64.3	97.2	289.5	0.18	124.2	187.7	558.9	24.8
1919	1973.1	65.7	108.7	292.2	0.18	129.6	214.5	576.6	24.8
1920	2016.2	67.0	106.4	292.2	0.18	135.1	214.5	589.2	24.8
1921	2016.2	67.0	106.4	294.9	0.18	135.1	214.5	594.6	24.8
1922	2059.0	69.7	104.2	292.2	0.18	143.5	214.5	601.7	24.8
1923	2059.0	71.0	104.2	297.6	0.18	146.3	214.5	612.7	24.8
1924	2101.9	72.4	114.8	300.3	0.18	152.1	241.3	631.1	24.8
1925	2144.8	73.7	112.5	300.3	0.18	158.1	241.3	644.0	24.8
1926	2144.8	76.4	112.5	303.0	0.18	163.9	241.3	649.8	24.8
1927	2187.7	77.8	122.5	305.6	0.18	170.1	268.1	668.6	24.8
1928	2187.7	79.1	122.5	308.3	0.27	173.0	268.1	674.5	37.2
1929	2230.6	81.8	120.2	305.6	0.27	182.4	268.1	681.7	37.2
1930	2230.6	83.1	120.2	311.0	0.27	185.4	268.1	693.7	37.2
1931	2273.4	84.5	129.7	313.7	0.27	192.0	294.9	713.1	37.2
1932	2273.4	87.1	129.7	316.4	0.27	198.1	294.9	719.2	37.2
1933	2316.3	89.8	138.9	319.0	0.27	208.0	321.7	739.0	37.2
