#
# World-3 in JS by Brian Hayes
# BAU calibration run
# http://bit-player.org/extras/limits/ltg.html
# Time step 0.25 years
# Resource multiplier 1
# Consumption factor 0.43
#
Year	LEB	BR_Crude	DR_Crude	Population
1900	32.6	38.1	28.9	1621
1901	32.4	39.7	28.8	1664
1902	32.4	40.7	28.9	1664
1903	32.4	41.2	29.1	1664
1904	32.4	41.5	29.2	1707
1905	32.4	41.5	29.3	1749
1906	32.4	41.5	29.3	1749
1907	32.4	41.5	29.5	1749
1908	32.4	41.3	29.6	1792
1909	32.4	41.2	29.7	1792
1910	32.4	41.1	29.7	1835
1911	32.4	41.1	29.9	1835
1912	32.4	40.9	29.9	1877
1913	32.4	40.9	30.0	1877
1914	32.4	40.8	30.0	1920
1915	32.4	40.8	30.0	1920
1916	32.6	40.8	30.0	1963
1917	32.6	40.7	30.0	1963
1918	32.6	40.7	30.0	2005
1919	32.6	40.7	30.1	2005
1920	32.6	40.7	30.1	2048
1921	32.6	40.5	30.0	2048
1922	32.6	40.5	30.0	2091
1923	32.9	40.5	30.0	2091
1924	32.9	40.5	30.0	2133
1925	32.9	40.5	30.0	2133
1926	33.1	40.4	30.0	2176
1927	33.1	40.4	29.9	2176
1928	33.1	40.4	29.9	2219
1929	33.3	40.4	29.9	2261
1930	33.3	40.4	29.7	2261
1931	33.3	40.4	29.7	2304
1932	33.5	40.3	29.6	2304
1933	33.5	40.3	29.6	2347
1934	33.7	40.3	29.5	2347
1935	33.7	40.3	29.5	2389
1936	33.7	40.3	29.3	2432
1937	33.9	40.1	29.2	2432
1938	33.9	40.1	29.2	2475
1939	34.1	40.1	29.1	2517
1940	38.8	40.1	25.9	2517
1941	39.3	41.2	24.1	2560
1942	39.3	40.9	24.0	2603
1943	39.3	40.7	24.0	2645
1944	39.5	40.4	23.9	2688
1945	39.7	40.3	23.7	2773
1946	39.7	40.1	23.6	2816
1947	39.9	40.0	23.5	2859
1948	40.1	39.9	23.3	2901
1949	40.3	39.7	23.2	2944
1950	40.5	39.6	23.1	2987
1951	40.5	39.5	22.9	3029
1952	40.7	39.2	22.8	3072
1953	41.0	39.1	22.7	3115
1954	41.2	38.9	22.5	3200
1955	41.4	38.8	22.4	3243
1956	41.6	38.7	22.3	3285
1957	41.8	38.4	22.1	3371
1958	42.0	38.3	22.0	3413
1959	42.2	38.1	21.9	3456
1960	42.5	38.0	21.6	3541
1961	42.9	37.9	21.5	3584
1962	43.1	37.7	21.3	3627
1963	43.3	37.5	21.2	3712
1964	43.5	37.3	20.9	3755
1965	43.9	37.2	20.7	3840
1966	44.2	36.9	20.5	3883
1967	44.4	36.8	20.4	3968
1968	44.8	36.7	20.1	4011
1969	45.0	36.4	19.9	4096
1970	45.2	36.3	19.7	4181
1971	45.4	36.0	19.6	4224
1972	45.9	35.7	19.5	4309
1973	46.1	35.5	19.2	4395
1974	46.5	35.3	19.1	4437
1975	46.7	35.2	18.8	4523
1976	47.1	34.9	18.7	4608
1977	47.4	34.8	18.4	4693
1978	47.8	34.7	18.1	4736
1979	48.0	34.4	18.0	4821
1980	48.4	34.3	17.7	4907
1981	48.9	34.0	17.5	4992
1982	49.1	33.7	17.3	5077
1983	49.3	33.6	17.2	5163
1984	49.5	33.3	16.9	5248
1985	49.9	33.1	16.9	5291
1986	50.1	32.8	16.5	5461
1987	50.3	32.7	16.5	5504
1988	50.6	32.4	16.4	5589
1989	50.8	32.1	16.3	5717
1990	51.0	32.1	16.3	5803
1991	51.2	31.7	16.3	5845
1992	51.2	31.3	16.1	5973
1993	51.4	31.1	16.1	6059
1994	51.6	30.9	16.0	6144
1995	51.8	30.7	16.0	6229
