#
# Crude birth rate (the UN via OurWorldInData)
# https://ourworldindata.org/fertility-rate
#
Year	Population	Births	BR_Crude
1950	2536.275	97.399	38.40
1951	2583.817	97.382	37.69
1952	2630.584	97.485	37.06
1953	2677.230	97.862	36.55
1954	2724.302	98.514	36.16
1955	2772.243	99.438	35.87
1956	2821.383	100.628	35.67
1957	2871.952	102.069	35.54
1958	2924.081	103.732	35.47
1959	2977.825	105.573	35.45
1960	3033.213	107.537	35.45
1961	3090.305	109.558	35.45
1962	3149.244	111.558	35.42
1963	3210.271	113.464	35.34
1964	3273.671	115.216	35.19
1965	3339.593	116.766	34.96
1966	3408.121	118.094	34.65
1967	3479.054	119.222	34.27
1968	3551.881	120.172	33.83
1969	3625.906	120.943	33.36
1970	3700.578	121.504	32.83
1971	3775.791	121.818	32.26
1972	3851.545	121.908	31.65
1973	3927.539	121.832	31.02
1974	4003.448	121.674	30.39
1975	4079.087	121.558	29.80
1976	4154.288	121.621	29.28
1977	4229.201	121.959	28.84
1978	4304.377	122.639	28.49
1979	4380.586	123.688	28.24
1980	4458.412	125.149	28.07
1981	4537.846	127.031	27.99
1982	4618.776	129.217	27.98
1983	4701.531	131.548	27.98
1984	4786.484	133.873	27.97
1985	4873.782	135.971	27.90
1986	4963.633	137.616	27.72
1987	5055.636	138.691	27.43
1988	5148.557	139.143	27.03
1989	5240.735	138.969	26.52
1990	5330.943	138.233	25.93
1991	5418.759	137.065	25.29
1992	5504.401	135.687	24.65
1993	5588.095	134.311	24.04
1994	5670.320	133.067	23.47
1995	5751.474	132.063	22.96
1996	5831.565	131.355	22.52
1997	5910.566	130.907	22.15
1998	5988.846	130.688	21.82
1999	6066.867	130.705	21.54
2000	6145.007	130.961	21.31
2001	6223.412	131.447	21.12
2002	6302.150	132.116	20.96
2003	6381.409	132.913	20.83
2004	6461.371	133.796	20.71
2005	6542.159	134.721	20.59
2006	6623.848	135.657	20.48
2007	6706.419	136.581	20.37
2008	6789.771	137.464	20.25
2009	6873.741	138.275	20.12
2010	6958.169	138.984	19.97
2011	7043.009	139.574	19.82
2012	7128.177	140.053	19.65
2013	7213.426	140.429	19.47
2014	7298.453	140.702	19.28
2015	7383.009	140.875	19.08
