#
# Children per woman (computed by OurWorldInData)
# https://ourworldindata.org/fertility-rate
#
Year	TFR
1950	5.048
1951	5.018
1952	4.966
1953	4.926
1954	4.899
1955	4.884
1956	4.882
1957	4.890
1958	4.909
1959	4.934
1960	4.963
1961	4.993
1962	5.017
1963	5.033
1964	5.037
1965	5.025
1966	4.996
1967	4.951
1968	4.891
1969	4.818
1970	4.731
1971	4.630
1972	4.517
1973	4.397
1974	4.273
1975	4.151
1976	4.036
1977	3.931
1978	3.839
1979	3.762
1980	3.700
1981	3.653
1982	3.618
1983	3.588
1984	3.561
1985	3.532
1986	3.494
1987	3.446
1988	3.387
1989	3.318
1990	3.240
1991	3.156
1992	3.073
1993	2.994
1994	2.923
1995	2.861
1996	2.810
1997	2.766
1998	2.729
1999	2.698
2000	2.672
2001	2.651
2002	2.634
2003	2.620
2004	2.607
2005	2.595
2006	2.583
2007	2.572
2008	2.562
2009	2.551
2010	2.541
2011	2.531
2012	2.521
2013	2.512
2014	2.503
2015	2.494
