#
# Life expectancy (computed by OurWorldInData)
# https://ourworldindata.org/life-expectancy
#
Year	LEB
1770	28.700
1800	28.500
1820	29.000
1850	29.300
1870	29.700
1900	32.000
1913	34.100
1950	45.733
1951	46.069
1952	46.712
1953	47.295
1954	47.820
1955	48.286
1956	48.702
1957	49.074
1958	49.418
1959	49.762
1960	50.137
1961	50.573
1962	51.098
1963	51.726
1964	52.451
1965	53.248
1966	54.075
1967	54.884
1968	55.636
1969	56.314
1970	56.911
1971	57.436
1972	57.916
1973	58.374
1974	58.818
1975	59.251
1976	59.674
1977	60.083
1978	60.475
1979	60.852
1980	61.219
1981	61.580
1982	61.937
1983	62.289
1984	62.635
1985	62.965
1986	63.270
1987	63.545
1988	63.785
1989	63.995
1990	64.180
1991	64.347
1992	64.509
1993	64.676
1994	64.857
1995	65.054
1996	65.269
1997	65.499
1998	65.743
1999	66.001
2000	66.276
2001	66.570
2002	66.885
2003	67.220
2004	67.572
2005	67.941
2006	68.327
2007	68.725
2008	69.130
2009	69.535
2010	69.934
2011	70.320
2012	70.690
2013	71.039
2014	71.364
2015	71.661
2016	71.928
2017	72.169
2018	72.386
2019	72.584
