#
# Parametrization table
# _060_IndicatedServiceOutputPerCapita [dollars / person / year]
#
# Horizontal conversion = 150,1081,0,1800,fraction
# Vertical conversion = 696,123,0,2000,fraction
#
# Sigmoid( x0=0.000, s0=0.00178, left=-2100.000, right=2100.000, shift=0.000)
#
X,Y
0.000,38.394
15.467,62.827
32.868,83.770
48.335,104.712
65.736,125.654
81.203,146.597
98.604,171.030
114.071,188.482
131.472,212.915
146.939,233.857
164.339,254.799
179.807,275.742
195.274,289.703
212.675,324.607
228.142,349.040
245.542,380.454
261.010,404.887
278.410,432.810
293.878,460.733
311.278,488.656
326.745,516.579
344.146,544.503
359.613,572.426
375.081,596.859
392.481,628.272
407.949,656.195
425.349,687.609
440.816,715.532
458.217,750.436
473.684,778.360
491.085,809.773
506.552,834.206
523.953,865.620
539.420,893.543
554.887,921.466
572.288,952.880
587.755,980.803
605.156,998.255
620.623,1029.668
638.024,1047.120
653.491,1064.572
670.892,1082.024
686.359,1099.476
703.759,1120.419
719.227,1137.871
734.694,1151.833
752.095,1172.775
767.562,1190.227
784.962,1207.679
800.430,1228.621
817.830,1246.073
833.298,1263.525
850.698,1284.468
866.165,1301.920
883.566,1319.372
900.967,1340.314
916.434,1357.766
933.835,1375.218
949.302,1392.670
966.703,1413.613
982.170,1431.065
999.570,1445.026
1015.038,1465.969
1032.438,1483.421
1047.906,1500.873
1065.306,1518.325
1080.773,1532.286
1096.241,1549.738
1113.641,1567.190
1129.109,1581.152
1146.509,1598.604
1161.976,1612.565
1179.377,1630.017
1194.844,1640.489
1212.245,1661.431
1227.712,1671.902
1245.113,1685.864
1260.580,1696.335
1276.047,1710.297
1293.448,1720.768
1308.915,1734.729
1326.316,1745.201
1341.783,1759.162
1359.184,1773.124
1374.651,1783.595
1392.052,1797.557
1407.519,1811.518
1424.919,1828.970
1440.387,1842.932
1455.854,1860.384
1473.255,1877.836
1488.722,1891.798
1506.122,1909.250
1521.590,1926.702
1538.990,1944.154
1554.458,1958.115
1571.858,1975.567
1587.325,1989.529
1604.726,2000.000
1620.193,2000.000
1635.661,2000.000
1653.061,2000.000
1668.528,2000.000
1685.929,2000.000
1701.396,2000.000
1718.797,2000.000
1734.264,2000.000
1751.665,2000.000
1767.132,2000.000
1784.533,2000.000
1800.000,1993.019
