#
# DYNAMO Model
#
Time,_849_IndustrialOutput_Reference,_870_ServiceOutput_Reference
1900.0,7.425e+10,1.604e+11
1905.0,8.977e+10,1.604e+11
1910.0,1.051e+11,1.872e+11
1915.0,1.212e+11,2.139e+11
1920.0,1.440e+11,2.406e+11
1925.0,1.671e+11,2.674e+11
1930.0,1.990e+11,3.209e+11
1935.0,2.350e+11,3.476e+11
1940.0,2.763e+11,4.011e+11
1945.0,3.263e+11,4.813e+11
1950.0,3.816e+11,5.615e+11
1955.0,4.535e+11,6.417e+11
1960.0,5.357e+11,7.487e+11
1965.0,6.256e+11,8.824e+11
1970.0,7.391e+11,1.043e+12
1975.0,8.698e+11,1.203e+12
1980.0,1.009e+12,1.390e+12
1985.0,1.158e+12,1.631e+12
1990.0,1.329e+12,1.898e+12
1995.0,1.528e+12,2.192e+12
2000.0,1.733e+12,2.487e+12
2005.0,1.958e+12,2.834e+12
2010.0,2.213e+12,3.209e+12
2015.0,2.458e+12,3.663e+12
2020.0,2.630e+12,4.011e+12
2025.0,2.664e+12,4.278e+12
2030.0,2.425e+12,4.358e+12
2035.0,1.858e+12,4.011e+12
2040.0,1.515e+12,3.476e+12
2045.0,1.237e+12,2.968e+12
2050.0,9.611e+11,2.433e+12
2055.0,7.553e+11,2.086e+12
2060.0,5.885e+11,1.684e+12
2065.0,4.716e+11,1.390e+12
2070.0,3.679e+11,1.150e+12
2075.0,2.874e+11,9.358e+11
2080.0,2.283e+11,7.754e+11
2085.0,1.870e+11,6.684e+11
2090.0,1.477e+11,5.615e+11
2095.0,1.120e+11,4.545e+11
2100.0,8.580e+10,3.743e+11
