#
# DYNAMO Model
#
Time,_142_PersistentPollution
1900.0,2.345e+07
1901.0,2.264e+07
1902.0,2.222e+07
1903.0,2.199e+07
1904.0,2.188e+07
1905.0,2.184e+07
1906.0,2.184e+07
1907.0,2.189e+07
1908.0,2.197e+07
1909.0,2.209e+07
1910.0,2.225e+07
1911.0,2.245e+07
1912.0,2.270e+07
1913.0,2.300e+07
1914.0,2.334e+07
1915.0,2.373e+07
1916.0,2.417e+07
1917.0,2.465e+07
1918.0,2.519e+07
1919.0,2.577e+07
1920.0,2.640e+07
1921.0,2.708e+07
1922.0,2.780e+07
1923.0,2.856e+07
1924.0,2.937e+07
1925.0,3.022e+07
1926.0,3.112e+07
1927.0,3.205e+07
1928.0,3.304e+07
1929.0,3.406e+07
1930.0,3.512e+07
1931.0,3.623e+07
1932.0,3.738e+07
1933.0,3.858e+07
1934.0,3.982e+07
1935.0,4.111e+07
1936.0,4.244e+07
1937.0,4.382e+07
1938.0,4.525e+07
1939.0,4.673e+07
1940.0,4.826e+07
1941.0,4.985e+07
1942.0,5.148e+07
1943.0,5.318e+07
1944.0,5.493e+07
1945.0,5.674e+07
1946.0,5.861e+07
1947.0,6.055e+07
1948.0,6.255e+07
1949.0,6.462e+07
1950.0,6.676e+07
1951.0,6.898e+07
1952.0,7.127e+07
1953.0,7.365e+07
1954.0,7.610e+07
1955.0,7.865e+07
1956.0,8.128e+07
1957.0,8.399e+07
1958.0,8.681e+07
1959.0,8.971e+07
1960.0,9.272e+07
1961.0,9.582e+07
1962.0,9.902e+07
1963.0,1.023e+08
1964.0,1.058e+08
1965.0,1.093e+08
1966.0,1.129e+08
1967.0,1.167e+08
1968.0,1.205e+08
1969.0,1.245e+08
1970.0,1.287e+08
1971.0,1.329e+08
1972.0,1.373e+08
1973.0,1.419e+08
1974.0,1.467e+08
1975.0,1.517e+08
1976.0,1.569e+08
1977.0,1.623e+08
1978.0,1.680e+08
1979.0,1.739e+08
1980.0,1.801e+08
1981.0,1.865e+08
1982.0,1.932e+08
1983.0,2.002e+08
1984.0,2.075e+08
1985.0,2.150e+08
1986.0,2.229e+08
1987.0,2.310e+08
1988.0,2.395e+08
1989.0,2.483e+08
1990.0,2.575e+08
1991.0,2.671e+08
1992.0,2.770e+08
1993.0,2.874e+08
1994.0,2.982e+08
1995.0,3.094e+08
1996.0,3.211e+08
1997.0,3.332e+08
1998.0,3.459e+08
1999.0,3.591e+08
2000.0,3.727e+08
2001.0,3.869e+08
2002.0,4.017e+08
2003.0,4.171e+08
2004.0,4.330e+08
2005.0,4.496e+08
2006.0,4.668e+08
2007.0,4.848e+08
2008.0,5.034e+08
2009.0,5.228e+08
2010.0,5.429e+08
2011.0,5.639e+08
2012.0,5.856e+08
2013.0,6.082e+08
2014.0,6.317e+08
2015.0,6.561e+08
2016.0,6.814e+08
2017.0,7.076e+08
2018.0,7.348e+08
2019.0,7.630e+08
2020.0,7.922e+08
2021.0,8.224e+08
2022.0,8.538e+08
2023.0,8.862e+08
2024.0,9.198e+08
2025.0,9.544e+08
2026.0,9.900e+08
2027.0,1.027e+09
2028.0,1.064e+09
2029.0,1.103e+09
2030.0,1.142e+09
2031.0,1.182e+09
2032.0,1.222e+09
2033.0,1.263e+09
2034.0,1.304e+09
2035.0,1.345e+09
2036.0,1.385e+09
2037.0,1.424e+09
2038.0,1.462e+09
2039.0,1.498e+09
2040.0,1.531e+09
2041.0,1.562e+09
2042.0,1.588e+09
2043.0,1.610e+09
2044.0,1.628e+09
2045.0,1.640e+09
2046.0,1.647e+09
2047.0,1.649e+09
2048.0,1.646e+09
2049.0,1.637e+09
2050.0,1.624e+09
2051.0,1.606e+09
2052.0,1.583e+09
2053.0,1.557e+09
2054.0,1.527e+09
2055.0,1.493e+09
2056.0,1.458e+09
2057.0,1.419e+09
2058.0,1.379e+09
2059.0,1.338e+09
2060.0,1.295e+09
2061.0,1.251e+09
2062.0,1.207e+09
2063.0,1.163e+09
2064.0,1.119e+09
2065.0,1.075e+09
2066.0,1.031e+09
2067.0,9.884e+08
2068.0,9.462e+08
2069.0,9.048e+08
2070.0,8.644e+08
2071.0,8.250e+08
2072.0,7.868e+08
2073.0,7.497e+08
2074.0,7.137e+08
2075.0,6.791e+08
2076.0,6.457e+08
2077.0,6.136e+08
2078.0,5.828e+08
2079.0,5.533e+08
2080.0,5.251e+08
2081.0,4.982e+08
2082.0,4.726e+08
2083.0,4.481e+08
2084.0,4.248e+08
2085.0,4.027e+08
2086.0,3.817e+08
2087.0,3.618e+08
2088.0,3.428e+08
2089.0,3.249e+08
2090.0,3.079e+08
2091.0,2.917e+08
2092.0,2.764e+08
2093.0,2.620e+08
2094.0,2.483e+08
2095.0,2.353e+08
2096.0,2.230e+08
2097.0,2.113e+08
2098.0,2.003e+08
2099.0,1.898e+08
2100.0,1.799e+08
